chara072016_03.bytes,,Llo - TL,Naegles- QC
index,chara,jp,en
38,ヱリカ,わ、わ…………。,My... my......
44,ヱリカ,我が主ぃいいいぃいいいい！！,MY MAAASSTTEEEERRRRRRRRRR!!!!
54,Rika (シエスタ),み、みーっ？！,M-me-eep?!
59,Miyuki (Casual),"うわっ、知らない変な人が
梨花ちゃんに向かって全速力？！","Woah, this weirdo just turns around and runs full blast at Rika-chan?!"
61,Nao (Casual),逃げて、梨花ぁ！,"Ruuun, Rikaaa!"
69,ヱリカ,主ぃいいいいいいいぃいいぃ！！,MAAAASSSTEEEERRRRRRRRRR!!!
78,Miyuki (Casual),"って、そのままスライディングしながら
土下座ぁぁ？！","W-, and then she slides into a kneeling positioooon?!"
83,Rika (シエスタ),え、えっ……？,W-What...?
86,ヱリカ,"どどど、どうしてこちらに……？
い、いえ無粋な事をおたずねいたしましたっ！","W-w-w-why ever would you be here...?
N-No, it was tactless of me to have asked!"
90,ヱリカ,"我が主よッ、この古戸ヱリカの活躍を
ご覧いただきに来てくださったのですよね！！","My master, you have blessed me, Erika Furudo, with your humble visit to oversee my activities!!"
93,ヱリカ,"あぁ、そこまでご期待していただけて
光栄ですッ、感無量ですッ……！","Aah, I'm so honored, so deeply emotional to be able to expect you to come here...! "
101,Miyuki (Casual),古戸、ヱリカさん……？　菜央、知ってる？,"Erika, Furudo-san...? Nao, is that familiar to you?"
103,Nao (Casual),"……知らないわ。
というかあんな変な人、知りたくもない。",...Not even close. I don't even think I want to be familiar with that weirdo.
107,Kazuho (Casual),"そ、そうだよね……
でも、梨花ちゃんとも知り合いみたいだよ。",R-Right... But it looks like she's acquainted with Rika-chan too.
112,Rika (シエスタ),み、みー……？,Me-Meep...?
116,Miyuki (Casual),"いや、でも……
あの困惑顔は、そっちとも違うみたいだよ？","Wait, but... 
Doesn't her baffled look say otherwise?"
122,ヱリカ,"それにしても……我が主。
どうして今回は、シエスタ姉妹兵などの
格好をしているのでしょう？","At any rate, my master, do tell why you would be in this Chiester Sisters outfit as you are right now?"
124,ヱリカ,"……はっ、もしかしてコスプレというやつですか？
最近下々の服をアレンジして着こなすのが
一部で流行していると小耳に挟みました！","...H-, could it be that you're cosplaying as someone? I have overheard that it's all the rage to arrange an outfit using the clothes of commoners!"
128,ヱリカ,"さすが我が主ッ！　美貌も佇まいも完璧ですっ！
どのような衣装も
見事に着こなしていらっしゃいます！","That's my master! Your face and body are perfect! No matter what clothes you have on, you wear it ravishingly!"
131,Rika (シエスタ),あの、ボクは古手梨花と言って……。,"Um, I've been telling you I'm Rika Furude..."
133,ヱリカ,"古手梨花……フルデリカ、
あ、ぁ……なるほど！
今回はそういう趣向なのですね！","Rika Furude... Furuderika... ah-, oh... I see! So that was the idea behind it!"
135,Rika (シエスタ),みー？！,Meep?!
141,戦人,おい、なんだなんだ何の騒ぎだ？,"Hey, what's up, what's up, what's all this ruckus?"
143,圭一 (Casual),"どうした？　……って、
梨花ちゃんの前に土下座してるのって誰だ？","What happened? ...Wait, who's this person kneeled up in front of Rika-chan?"
148,Kazuho (Casual),"あ、前原くん、戦人さん！
２人は古戸ヱリカって知ってる？","Ah, Maebara-kun, Battler-san! Do either of you know an Erika Furudo?"
153,戦人,……誰だ？,...Who?
155,圭一 (Casual),"いや……でもなんで、その古戸さんが
梨花ちゃんに土下座をしているんだ？",Nah... but why is this Furudo-san kneeling in front of Rika-chan?
159,Nao (Casual),"よくわからないけど、
梨花を誰かに間違えてるみたいなのよ。","We have no idea, but it looks like she's mistaken Rika for someone else."
165,Rika (シエスタ),で、ですからボクは違うのです……！,"L-Like I said, I'm someone else...!"
167,ヱリカ,"大丈夫です、我が主。
今回はそういうものであるとこの古戸ヱリカ、
きちんと理解しております！","Do rest assured, my master. I, Erika Furudo, have properly grasped the situation at hand!"
173,Nao (Casual),……何一つ理解してないわよ、あの変態。,...That pervert hasn't grasped a single thing.
175,Kazuho (Casual),"へ、変態って……菜央ちゃん、
さすがにそれは言いすぎじゃないかと……。","P-Pervert...? Nao-chan, isn't that a little too much...?"
179,Miyuki (Casual),"んー、さっさと帰ってもらいたいけど、
菜央の時とは別の意味で帰ってくれそうにないね。","Mmm, we wanted her to go home right away with the Nao thing, but now it's looking like going home for her means something totally different."
181,Kazuho (Casual),"あの梨花ちゃんが押されてるなんて……！
どうしよう、どうすれば……？！","For Rika-chan to get overwhelmed like that...!
What should we do? What {i}could{/i} we do...?!"
187,戦人,"……お、そうだ。
いいことを思いついたぜ。","...Oh, right. I just remembered something good."
189,戦人,圭一、ちょっといいか。,"Keiichi, got a minute?"
191,圭一 (Casual),えっ……？,Huh...?
201,ヱリカ,"我が主、どうしてこちらに？
もしや何か急ぎの命令でも？","My master, why would you be here? Could you have had an urgent order for me?"
203,ヱリカ,"でしたらこの古戸ヱリカ、
地の果て水の果て地獄の果てでも……！！","In that case, I, Erika Furudo, will traverse lands, water, even hell...!!"
205,Rika (シエスタ),で、ですから……！,"I'm, I'm telling you...!"
