chara062008_02.bytes,chara,jp,en,
40,Satoko,"あー、もう！
何度やっても全くもってわかりませんわ！
この問題がなぜ、こんな答えになるんですのー？","Oh, come ooon!
No matter how many times I do this, I still can't understand it!
How do you even get an answer like that on this question?",
48,Mion,"ちょっと沙都子……いくら自習でも、今は授業中だよ。
もう少し声を落とさないと、知恵先生に怒られても
しらないからね。","Uh, Satoko... we might be self-studying right now, but we're still in the middle of class. Chie-sensei might get angry at us if you don't quiet down.",self-studying instead of self-teach
51,Satoko,"そう言われましても、こんなチンプンカンプンな
難問を前にすれば叫びたくもなりましてよ！
だいたいこんなもの、いったい何の役に立ちますのっ？",But still! This question written in gibberish is going to make me scream! How is this supposed to be useful to learn in the first place?,"""Even if you tell me that"" is a bit mre natural? (((i changed it to despite for now"
53,Mion,"そりゃ、まぁ……この公式と計算方法を覚えておくと
学力成績が上がって、高校や大学の入試に役立つ。
そして学歴を得て、いい会社に入ることができる……。","That's, well... remembering these formulas and calculation methods will help raise your grades as well as help you on high school and college entrance exams. And then that'll net you an academic background, which can get you into a nice job...",
55,Mion,……といいなぁ、って私は聞いているよ。,"...hopefully anyways, since that's just what I hear.",
59,Kazuho,"願望の上に、伝聞……？　えっと魅音さん、
そんな言い方じゃまるで説得力ないし、
沙都子ちゃんも納得できないと思うんだけど……。","On top of it being wishful thinking, it's hearsay...? Uh, Mion-san, saying it that way isn't too convincing, and I also doubt you've convinced Satoko-chan...",
63,Satoko,"全くですわ！　ＴＶでも雑誌でも、勉強すれば
いい会社に入って給料をたくさんもらって、
幸せになれるとよく申しておりますけど……。","You said it! Be it on TV or in magazines, they're always saying that if you study, you'll get into a good company, get paid well, and become happy, but...",
65,Satoko,"だったら、世の中でお金持ちになっている方は
みんな、勉強がおできになるんですのっ？
そうじゃない例もたくさんありますわよね？！","If so, does every single rich person on Earth have good study skills?
No way; plenty without those skills also exist, don't they?!",
69,Miyuki,"んー、まぁ確かに。アイドルやタレント、
スポーツ選手とかだといい学校を出てなくても、
才能にあふれてる人がたくさんいるよねー。","Mmm, yeah, true. The world is full of idols, TV personalities, athletes, and much more who didn't go to a good school but are bursting with talent.",
73,Nao,"むしろ、いい学校に行ってなくても知識と経験が
豊富にある人って、優秀な上に頼もしい印象よね。
だから一概には言えないかも……かも。","Yet even without going to a good school, these people who are rich with intelligence and experience give off a reliable and outstanding impression. So there might not be such a strict rule behind it... maybe.",
75,Satoko,"ほらっ、このお２人もこう申しておられましてよ！
だったら勉強を無理に頑張る必要なんて、
全然ないということではありませんのっ？","See, those two agree with me! So isn't there no need at all to push yourself to study past your limits?",
