chara062008_03.bytes,chara,jp,en,
26,Satoko (高校生夏服),"～♪　ふふっ、ここはこうして……。
あとは……。","~♪ *humming*, this is this... and next is this...",
28,？？？？,……北条さん。聞いていますか、北条さん？,"...Houjou-san. Are you listening, Houjou-san?",
29,Satoko (高校生夏服),"あっ……は、はい、もちろんですっ。
夏休みに向けての過ごし方……ですよね？","Ah... y-yes, of course.
How I'm going to spend my time during summer break... right?",
31,？？？？,"その通りです。長期休暇だからといって
羽目を外しすぎず、各々がしっかりと
自覚をもって過ごすようにしてください。","Yes, exactly. It is an extended break, so please do not let yourself go too much and do please spend your time responsibly.",
33,？？？？,"では、ホームルームを終わります。
日直さん、号令を。","Now, that ends homeroom.
Will the student on duty please do the class call?",
36,？？？？,"……起立、礼。
ありがとうございました。","...Stand, bow.
Thank you so much for today.",
43,？？？？,"あ、北条さん。
先日のテストの件でお話がありますから、
このあと職員室に来ていただけますか？","Ah, Houjou-san.
I would like a word with you about the pop quiz from a few days ago, so might you come to the staff room with me after this?",
44,Satoko (高校生夏服),"は、はい。
わかりましたわ……じゃない、わかりました。","Y-Yes. Got it... I mean, I understand.",
55,Rika (高校生),"あっ……沙都子！
先生の話は、その……どうだった？","Ah... Satoko!
How did, um... the conversation with the teacher go?",
64,Satoko (高校生夏服),"をーっほっほっほっ！
そんな暗い顔をしないでくださいまし。","Ohohohoho!
Don't make such a gloomy face!",change dark to 'gloomy' pls
66,Satoko (高校生夏服),"大丈夫、梨花のご心配するようなことは
何もありませんでしてよ。","It's alright; there's nothing you have to worry about, Rika.",
68,Rika (高校生),っ、じゃあ……！,Th-then...!,would remove the 'so'
71,Satoko (高校生夏服),"えぇ。点数が上がったことで、
珍しくお褒めの言葉をいただきましたわ。","Yes. My grades have gone up, so I've received a rare compliment.",
73,Satoko (高校生夏服),"まぁ、最後に「これを継続するように」と
釘もしっかり刺されてしまいましたけどね。","Well, she did end it with, ""Now, let's hope this persists"", though.",let's hope you continue like this' sound better to me
76,Rika (高校生),そう……よかった、本当に……。,"Wow... I'm happy for you, really, I am...",
78,Satoko (高校生夏服),"……ありがとう、梨花。あなたから傾向と対策を
みっちりと聞かせてもらったおかげで、
狙いを定めて勉強を行うことができましてよ。","...Thank you, Rika. I can set goals and study with ease now that I've learned good habits and strategies from you",
80,Satoko (高校生夏服),"解き方と答えをしっかり覚えてから、
問題に取り組むことを繰り返す……その方法では
応用に対処できないと思っておりましたけど。","Fully memorizing the answer and the steps to the solution, working hard on the problem by repeating it over and over... I originally thought applying this method would be unbearable.",
82,Satoko (高校生夏服),"予想外というか、びっくりしましたわ。
今まで思いつきもしなかった解き方が浮かんできて、
自分でも今まで以上に手応えを感じましたのよ。","But it blew me out of the water realizing the opposite. I came up with a solution that I had never thought of before, and it made me feel more capable than ever!",
84,Rika (高校生),"そうだったの？……でも、確かに沙都子って
記憶力は結構あると前から思っていたから、
そういうやり方があなたに合っていたのかもね。","Really? ...You know, I guess I did always think about how you have a pretty good memory, so maybe this style will work in your favor more.",
87,Satoko (高校生夏服),"えぇ。勉強もゲームも、攻略法は似たようなもの。
そして解いた時の爽快感と達成感も、ほぼ同じ……。","Yeah. Studies and games are both beaten in similar ways.
And the feelings of exhilaration and accomplishment you get from them are basically the same too...",
90,Satoko (高校生夏服),"まさに目からウロコ、
コロンブスの卵的な発見でしたわぁ～♪",For me it was almost like the awakening Christopher Columbus received when he made that egg-like discovery~♪,"WHEN HE MADE THE WHAT1?!?!? //  would change this to ""It all became clear to me, just like an Egg of Columbus~♪"" and add a TL note maybee"
92,Rika (高校生),"くすくす……いい結果に繋がって、良かったわ。
この調子で、次のテストも頑張っていきましょう。","*giggle*giggle*... I'm so glad it led to a great result.
Let's keep this attitude for our next test.",
94,Satoko (高校生夏服),"梨花まで、あの先生と同じことを仰いますのね……。
まぁ、今日の私はとても機嫌がいいので
聞き流して差し上げましてよ～、をっほっほっほっ！","Oh, now even Rika's talking like that teacher...
Well, I'm in an amazing mood today, so I'll let it slide this once~.
Ohohohoho!",
96,Rika (高校生),"ふふっ……あっ、そういえば前に話していた
同好会の件だけど、いい手を教えてもらったわ。","*chuckle*... Ah, by the way, returning to the topic of founding a club, I was actually informed of a good way to go about that.","... wait, has 'club' been translated like 'like-minded people' all this time? anyway check pt1 of the story for my opinion on this if you haven't already!!"
98,Rika (高校生),"なんでも、遊びに感じられるようなものは
ダメだけど……授業の派生として説得力が
あるものなら、検討してもらえるんだって。","It's going to be impossible to have anything that feels like we're playing... but if we try to persuade them with something educational, we might be able to make them consider it.",would change 'involving learning' to 'educative'
100,Rika (高校生),"たとえば、家庭科……といっても料理部は
もうあるから、それ以外になりそうだけど。","Like for example, Home Ec... but they already have a cooking club, so we'll have to think of something else.",
102,Satoko (高校生夏服),"それなら、デザート……スイーツの研究などは
いかがですの？　ただ甘いだけでなく、
ヘルシーさを求めるやり方もありましてよ。","In that case, how about desserts... like a sweets research group?
And it doesn't just have to be sweet stuff; we can figure out how to make healthy stuff too!",edited a lil bit
105,Rika (高校生),"うん……いいわね、それ！
じゃあそのアイディアをもとに申請書を作って、
先生にお願いをしてみましょう。","Yeah... I like that a lot!
Let's get that idea down on a written application and try sending this request to a teacher then.",
107,Satoko (高校生夏服),"えぇ！　勉強も、楽しいものでしたら
私も大歓迎でしてよ～！","Okay! If it'll make studying more entertaining, I'll welcome it warmly~!",? maybe the wording can be diff here will leave this to tessie
113,,…………。,............,
114,Rika (高校生),"（東京から来た、あの３人……。
正直言うと私は、沙都子に言われるまで
彼女たちの存在をすっかり忘れていた）","(Those three that came from Tokyo...
If I'm being honest, I had completely forgotten about them until Satoko had brought them back up.)","honestly,' ?"
115,Rika (高校生),"（あんなにも強い印象を残して、あの時も
沙都子が立ち直るきっかけを与えてくれた、
大恩人たちなのに……）","(They left a huge impression on Satoko, which laid the groundwork for a turning point later on in her life. So we ended up indebted to them...)","Even though they left such a huge impression on her and simultaneously...' etc, she's talking about how they left an impression on satoko"
116,Rika (高校生),"（どうして私は、あの３人のことを
「忘れて」しまっていたのだろう……？）","(How could I have ended up ""forgetting"" about those three...?)",
118,Rika (高校生),"（そんな疑問を胸の内に押し隠して、
私は沙都子とともに寮の自室へと戻った……）","(Concealing these thoughts within the depths of my heart, I walked together with Satoko back to her dorm...)",
