event01_34_05.bytes,,Llo,,
index,chara,jp,en,
40,,"宿に戻って大浴場に向かうと、
白い湯気と温泉の香りが私たちを出迎えてくれた。","As we came back to the inn and headed towards the spring area, we were greeted with white steam and the scent of the hot spring.",
44,Miyuki (Casual),はー……疲れた身体に、湯がしみるよぅ。,Haaah... The hot water is seeping into my exhausted muscles...,
46,Rena (Casual),お客さんって、レナたちだけかな？　かな？,"I wonder if we're the only customers here, customers here?",
50,Satoko (Casual),"こんなに広いお風呂を私たちだけで独占なんて、
贅沢な話ですわねぇ。",For us to have this huge bath all to ourselves is quite the luxury.,
54,Nao (Casual),そうね……ほわぁ、気持ちいい……。,"Definitely... aaah, it feels so nice...",
57,,"菜央ちゃんがお湯に肩までつかりながら、
緩んだ表情を見せる。","As Nao-chan sunk shoulder-deep into the hot water, she put on a relaxed expression.",
61,Mion (Casual),んー、やっぱり温泉っていいねぇ～！,"Mmm, hot springs really are it, huh~?",
63,Hanyuu (Casual),あぅあぅ、疲れが溶けていくようなのですよ……。,"Au au, it's like my exhaustion is melting away...",
67,Rika (Casual),"羽入の顔もとろけているのです。
……そういえば美雪、さっき赤坂と
何を話していたのですか？","Even Hanyuu's face looks like it's melting.
...By the way, Miyuki, what were you talking about with Akasaka earlier?",
71,Miyuki (Casual),"おと……赤坂さん、お風呂に行く前に
東京へ電話をかけてくるんだって。",My da-... Akasaka-san took a call from Tokyo before coming to the spring.,
73,Miyuki (Casual),"お風呂をあがったら、仕事の話とかを
聞かせてくれるって約束してくれたけど……
ちょっとだけ時間をくれってさ。",He promised me that we would talk about work after I got out of the spring... but he told me to give him some time.,
77,Satoko (Casual),"お電話って、お仕事ですの？
こんなところに来てまで、大変ですわねぇ。","Was the call because of work?
Coming all the way to this place must have been rough.",
79,Miyuki (Casual),いや、家に電話をかけてるだけだと思うよ。,"Nah, I think it was just a call from home.",
83,Kazuho (Casual),な……なるほど。,I... I see.,
86,,"今頃、自宅に電話して奥さんと娘さん……
５歳の美雪ちゃんとお喋りをしているのだろうか。","Around now... I wonder if he's chatting with his wife and his daughter, the 5-year-old Miyuki-chan?",
87,,"その微笑ましい光景を、お湯に浸かりながら
ほわほわと頭の中に思い描いていると……。",I was leisurely soaking in the hot water imagining that pleasant scenario when...,
90,戦人,全然駄目だぜッ！,It's all useless!,
94,Hanyuu (Casual),あぅ？　これは……隣の男湯からですか？,Au? Was that... from the men's side of the spring?,
96,Rena (Casual),……戦人さんの声かな？　かな？,"...Is that maybe Battler-san's voice, Battler-san's voice?",
100,戦人,やっぱりおっぱいは、まな板よりデカいのがいいだろ？！,"If we're talking about boobies, aren't massive bazoingas better than mosquito bites?!",
108,Rena (Casual),はぅっ……？！,Hauuu...?!,
113,圭一 (Casual),"確かに、それは否定しねぇ！
いや、できる男なんざ存在しねぇ！
男はみんなおっぱいが大好きだからなっ！","I'm definitely not gonna deny that! No, not a single man is capable of denying it! Every single man on earth {i}loves{/i} boobies!",
116,Satoko (Casual),……こっちは圭一さんの声ですわね。,...That's Keiichi-san's voice.,
118,圭一 (Casual),"大きいおっぱいが素晴らしいのは当然だ！
世界が認める真理だ！　出発点だ！","It's only natural that big boobs are splendiferous! 
It's the truth our world accepts! It's the foundation behind all foundations!",
120,圭一 (Casual),……けど、貧乳には貧乳のよさがある！,"...But still, there's value in having small breasts too!",
