event01_33_02.bytes,Character Names,Japanese Text,Translation,Notes TL,Notes QC
25,,"車窓を流れていた山々の姿は
乗車時間の経過とともに減り、家屋が増えて
住宅街へと景色が変貌していく。","Out from the train window, the form of the mountains gradually lower with the passage of time, the number of houses increasing as the scenery of a residential area blends into view.",,
26,,"新幹線を使えば、東京駅までさほど遠くない。
あと数十分もすれば到着するだろう。","""If you use the bullet train, Tokyo won't be much farther"".
I should be there in about 10 minutes or so.",,
29,Rika (高校生私服),…………。,............,,
31,Rika (高校生私服),でも、着いた後はどうすれば……？,But what should I do once I arrive there...?,,
33,,"沙都子は聖ルチーア学園を飛び出して、
東京へと向かった……そこまではいい。
だけど――。",Satoko left St. Lucia Academy and headed to Tokyo.... that much is clear. However----,,
36,Rika (高校生私服),"東京にいるって言っても、
どこを探せばいいの……？","Even if I know she's in Tokyo, where should I look for her...?",,
38,,"東京と言っても大きな街はたくさんあり、
そのひとつひとつに無数の人が集まっている。
#p雛見沢#sひなみざわ#rで人探しをするのとはわけが違う。","Tokyo is a huge, jam-packed city with countless people hustling and bustling around every corner. Searching for someone here will prove far more difficult than it would be in Hinamizawa.",,
39,,"東京都の人口は年々増えており、
今や１０００万人とも言われている。
……単純計算でも雛見沢の５０００倍だ。","The Tokyo Metropolis area has a steadily growing population, which is said to be around 10 million as of today. ...Even doing it out with simple math, that's 5,000 times that of Hinamizawa.",,
40,,"さらに、周囲の都道府県から
通勤や通学で出入りしている人間を加えれば、
その数はもっと膨らむだろう。","Furthermore, if you were to factor in all of the people that commute there from the surrounding prefectures, that number would swell up even more.",,
41,,"そんな中で、ひとりの子の行方を捜す……？
落ち着いてよくよく考えてみれば、
難しいどころか無謀に等しいミッションだ。","And amidst all of that, I'm going to seek out one single girl...?
If I really think about it, this mission is going to be just as hard as it is reckless.",,
42,,"そもそも今の私は、
沙都子が東京のどこを目指して旅立ったのか……
それすらもわかっていない。",I don't even know where Satoko could be in the first place... out of all of these places in Tokyo I could set off to.,,
43,,"（何の目的で行ったかもわからないのに、
見当のつけようがないわ……）",(I have no idea what her goal in leaving even was. I have no leads either...),,
