event01_33_04.bytes,Character Names,Japanese Text,Translation,Notes TL,Notes QC
24,,再び、昭和６２年１２月。東京――,"December 1987, Tokyo--",i just removed it,
31,Satoko (高校生私服),"はぁ……や、やっと出られましたわ……。
このデパート、人が多すぎでしてよ。",*sigh*... I-I finally managed to leave... there were just way too many people at this store.,,
33,Satoko (高校生私服),"それにしても……東京というところは、
本当に大勢の人でごった返しておりますのね。","Still... Tokyo really does have people packed together in a huge, confusing mess.",editz,
35,Satoko (高校生私服),"土曜とはいえ、まだ日中なのに……
お祭りでもやっているのかと思って、
日付を確かめてしまいましたわ。","Even if it's Saturday, it's still midday... I thought they were doing a festival or something, so I had to check the date.",editz,
37,Satoko (高校生私服),"やはり私たちとは、生活のリズムや習慣が
大違いなんでしょうね……ふぅ。","As expected, the pace and customs here are extremely different from ours... *sigh*.",,
39,Satoko (高校生私服),"まぁ、でも……無事に目的も達成できましたし、
とりあえず首尾は上々といったところですわ。","Well... but I did accomplish my goal safely, so I'd call this a success.",,
41,Satoko (高校生私服),"あとは急いで、大事にならないうちに
学園寮に戻らないと――。",Now I just have to rush back to the dorm before it becomes a big deal--,editz,
44,Rika (高校生私服),……沙都子ッ！！,...Satoko!!,,
48,Satoko (高校生私服),……ふわっ？,...Fwah?,,
50,Satoko (高校生私服),"今、誰かが私の名前を呼んだような……
でもここって、東京の銀座ですわよね。","I feel like someone just called my name... but this is Ginza, Tokyo, right?",,
52,Satoko (高校生私服),…………。,............,,
54,Satoko (高校生私服),"やっぱり、気のせいですわね。
そもそも私は、東京に知り合いなんて
いませんし……。","I'm just hearing things, after all. I don't even have any acquaintances in Tokyo...",,
59,Rika (高校生私服),沙都子っ！！！,Satoko!!!,,
65,Satoko (高校生私服),えっ？！,Eh?!,,
67,Satoko (高校生私服),この声……まさか……まさか？！,This voice... it can't be... it couldn't be?!,,
73,,"見慣れた姿を人混みの中で見つけた瞬間……
世界がようやく明るさを取り戻した気がした。",The moment I saw her familiar figure amidst the crowd... it felt like my world finally regained its brightness.,,
75,,"もしかしたら、神様に祈りたくなるのは
こんな場面だろうか……そんなことを考えながら、
私は沙都子のもとへと駆け寄っていた。",Perhaps moments like this are the ones that make you want to start praising the Lord... I charged towards Satoko with that thought in mind.,editz,
80,Rika (高校生私服),"見つけたっ……！
やっぱりここだったのね、沙都子っ！！","I found you...! So you were here after all, Satoko!!",,
82,Satoko (高校生私服),"……わ、私、夢でも見ておりますの？
だって、梨花と魅音さんがこんなところに
いるはずが……？！","...A-Am I dreaming? I mean, there's no way Rika and Mion-san could be at this place...?!",,
86,Mion (大学生私服),"夢じゃないよ、れっきとした現実。
ここにいるのは、私と梨花ちゃん。",This is no dream. This is as real as it gets. The ones standing here are Rika-chan and I.,,
88,Satoko (高校生私服),で、でも梨花はルチーアに……！,B-But Rika should've been at Lucia...!,,
92,Rika (高校生私服),"何を言っているのよ！
あんたが学園から脱走したって聞いたから、
探しに来たんじゃないっ！",What are you saying?! I came to look for you because I heard you escaped from the academy!,,
94,Satoko (高校生私服),……だ、脱走？,...E-Escaped?,,
96,Rika (高校生私服),"生徒会長から聞いたのよ……！
あんたが抜け出すところを目撃した人がいて、
その報告が先生のところへいく直前だって……！","I heard it all from the student council president...!
Someone saw you sneaking out and it was nearly reported to the teachers...!",,
98,Rika (高校生私服),"だからこうして、連れ戻すために
追いかけてきたのに……っ！",That's why I came all the way here to bring you back...!,,
100,Satoko (高校生私服),"そうでしたの……警戒して出たつもりが、
出たところを目撃されておりましたのね。
私としたことが、不覚でしたわ。","I see... My intent was to be cautious, but someone managed to see me leaving anyway. What a blunder on my part.",editz,
102,Satoko (高校生私服),"それにしても梨花、よく私の居場所が
わかりましたのね。
ここ、東京ですわよ？　偶然にしては……。","Still, Rika, you found out where I was incredibly well. This is Tokyo, you know? For a coincidence like this to happen...",,
106,Mion (大学生私服),偶然じゃない。必然だよ。,It was no coincidence. It was inevitable.,,
108,Satoko (高校生私服),必然……って、どういうことですの？,Inevitable... what do you mean?,,
112,Rika (高校生私服),……思い出したのよ。,...I remembered.,,
115,,"そう言って私は、
沙都子が抱きしめている紙バッグに視線を向ける。","As I say that, I turn my gaze towards the paper bag Satoko is holding.",,
