event01_33_01.bytes,Character Names,Japanese Text,Translation,Notes TL,Notes QC
26,Rika (高校生),（この生徒会長……噂に違わぬ性格の悪さね）,(The president of the student council... has a personality just as bad it's as rumored to be.),,
28,,"沙都子が絡む話を、私が無視できないと
わかった上で、彼女の名前を出すとは……。",To think she brought up Satoko's name because she knows I can't just leave with her on topic...,,
31,Rika (高校生),"（こんな人の片腕になんて、まっぴら御免ね。
猫の手程度であっても、引っかいてやりたいわ）","(I flat out wish to avoid becoming this person's right hand.
It doesn't matter if she turns me into a cat's paw either; I'd still want to claw right at her.)",reworded a lil into eng,
33,,"とはいえ、感情的になればこの人の#p思惑#sおもわく#rに
踊らされるだけだ。
落ち着け、クールになれ古手梨花……！","If I get led astray by my emotions here, then everything will go exactly according to this person's plan. Calm down and stay cool, Rika Furude...!",,
36,Rika (高校生),"沙都……北条さんは、今日は風邪で休んでいると
彼女のルームメイトから聞きました。",Sato-... Houjou-san's roommate told me that she would be skipping school today since she caught a cold.,,
38,,"だから、昼食の後は部屋で寝ている沙都子に
会いに行こうと思い、その前に購買室で差し入れを
買うため財布を取りに自室へと戻ったのだ。","That's why I was planning on paying a visit to Satoko after lunch while she was asleep in her room. Before that, I thought of buying some snacks for Satoko at the store, so I went back to my dorm to get my wallet.",,
40,？？？？,"態度が変わりましたね。
やっぱり北条沙都子さんのこと、気になりますか？","Your attitude has changed completely.
So you are curious about Satoko Houjou-san, aren't you?",,
47,Rika (高校生),ですから、北条さんがどうしたんですか？！,But just what is it that you have to say about Houjou-san already?!,,
52,,"苛立って要点を聞き出そうと詰め寄るが、
生徒会長は飄々とした態度のままだ。","I felt frustrated, so I pressured her to get to the point, but the president simply maintained her laid-back attitude.",,
53,,"本当に、この人は誰かの気分を
逆なでするのが上手だ。
……決して見習いたくはないけれど。","This person does spectacularly at rubbing people the wrong way. 
...Not that it's an ability I'd be fond of learning, though.",,
55,？？？？,"まぁまぁ、落ち着いて。
強いて言うなら……問題発生、ですかね？","Dear me, calm down. 
To put it bluntly... I'm assuming there's been some trouble?",editz,
58,Rika (高校生),も、問題……っ？,T-Trouble...?,,
61,？？？？,"ふむ。そう尋ねるということは、古手さん。
あなたには全く心当たりがないということですか？","Mhm. Since you're questioning it, Furude-san, does that mean you've had no clue about it?",editz,
64,Rika (高校生),っ……！！,Gh......!!,,
66,,問い返されて、奥歯を噛みしめる。,"With that retort, I clenched my teeth.",editz,
