event01_33_03.bytes,Character Names,Japanese Text,Translation,Notes TL,Notes QC
30,,昭和５８年１２月――。,"December 12th, 1983--",,
42,Mion (冬服),"みんな～、飲み物は行き渡った？
自分のグラス、持ちあげてみてー！","Alright everyone~, have you gotten your drinks?
We're gonna do a toast!",,
49,Kazuho (冬服),は、はいっ……！,O-Okay...!,yes -> ok,
51,,"私が両手に持ったグラスを掲げると、
魅音さんの隣に立った詩音さんが「よし」と
頷いて、魅音さんに声をかけていった。","As I held the two cups in my hands up, Shion-san nodded with an ""Alright."", and called out to Mion-san.",,
55,詩音 (冬服),"全員に行き渡ったみたいですよ、お姉。
準備ＯＫです。","It looks like everyone's gotten one, Sis.
Preparations are complete.",,
58,Mion (冬服),それじゃ、改めまして……コホン！,"Alright, let's do this formally... *ahem*!",,
60,Mion (冬服),みんな、ほんっとうにお疲れ様でした！,"Everyone, we did a suuuuper great job!",,
62,詩音 (冬服),"みんなが手伝ってくれたおかげで、
なんとかエンジェルモートのクリスマスフェア……
もとい、修羅場を乗り越えることができました。","Thanks to everyone's help, we've somehow gotten past the Angel Mort Christmas Fair... or rather, the crunch beforehand!",,
64,詩音 (冬服),"というわけで、この会はお店と私たちからの
ささやかなお礼です。","So, for that, this gathering is a small thanks from us and the restaurant.",,
72,Mion (冬服),"もうイブが明けて１２月２５日の夜だけど、
私たちのクリスマスはこれからだッ！","Christmas Eve has already passed, but our Christmas starts here!",edit ((i reedited over this edit,
74,Mion (冬服),"だから思う存分、飲み食いしちゃって！
それでは――。","So, let's eat and drink as much as we like! And without further ado--",,
77,Mion (冬服),メリークリスマース！,Merry Christmas!,,
85,？？？？,メリークリスマース！！,Merry Christmas!!,,
90,Miyuki (冬服),"んぐ、んぐ、んぐ……っぷ、はぁ！！
労働のあとの一杯はおいしいね！　もう一杯！","*gulp*, *gulp*, *gulp*... *burp*, haaahh!!
A full glass is great after a hard few days at work! Another one for me!",,
92,Kazuho (冬服),"そ、そんなに急に飲んだら
変なところに入っちゃうよ？","I-If you drink that much at once, won't it take you off somewhere strange?",,
94,Miyuki (冬服),"大丈夫、ちゃんと気をつけてる。
……それに、昨日からずーっと働きっぱなしで
喉乾いてたから、まだ足りないくらいだよ。","No worries, I'm minding my limits.
...And besides, yesterday I was parched the whooooole time we were sweating it up on the job, so I'm still catching up.",,
96,Miyuki (冬服),"っていうか、クリスマスのファミレスって
水飲む暇すらないくらい忙しいものなの？
家でパーティーする人が大多数じゃないの？","Speaking of, the people at the family restaurant weren't even given the chance to take a water break because we were so busy over Christmas, right? But not many people are even here partying...",changed ? to ...,
98,Miyuki (冬服),"今度からクリスマスじゃなくて、
クルシミマスに改名するべきだと
私は提案してやりたいね……。",We should call it Cursedmas instead of Christmas...,shortened,
102,Nao (冬服),"世の中には、色々なクリスマスの過ごし方が
あるのよ……気持ちはわからないでもないけど。",There are various ways of celebrating Christmas all around... so it's not like I don't understand why.,,
104,Nao (冬服),"ほんっと、ここしばらく大変だったもんね……
クリームを絞りすぎて、もう腕があがらないわ。","It really was tough work for a while though, wasn't it...?
My arm won't even lift after whisking cream so much.",,
107,,"コップをテーブルに置いたまま、
ストローを使ってジュースを飲んでいた
菜央ちゃんがそう言って、腕を少し持ちあげる。","After taking a sip of her juice with a straw and placing her cup on the table, Nao-chan said that while lifting her arm a little.",,
108,,"彼女には珍しく、行儀の悪い格好の上……
その細く小さな腕は、何もしていないのに
ぷるぷると震えていた。","It's rare for her to be anything less than composed... but even so, that thin, tiny arm was trembling without her doing a single thing.",,
112,Rena (冬服),"あはははっ。菜央ちゃんにはいっぱい
ケーキ作りを手伝ってもらったからね。",Ahahaha. Nao-chan helped out with making a bunch of cakes after all.,,
114,Rena (冬服),"でも、そのおかげでレナはすっごく助かったよ。
だからケーキは、レナがあーんしてあげるねっ。","But thanks to that, you saved Rena a lot.
Now Rena can forkfeed some cakes into your mouth!",,
118,Nao (冬服),"ほわぁ？！　い、いいのっ？！
じゃ、じゃあ……あ、あーん！",Whaa-?! C-Can you really?! Th-then... a-ahh!,,
122,Rena (冬服),"はぅ～、菜央ちゃんのちっちゃいお口に
ちっちゃい歯……かぁいいよ～！","Hau~, Nao-chan's wittle mouf and her wittle teefs... so kyuuuute~!!",,
