chara492001_02.bytes,,,,
index,chara,jp,en,
32,縁寿,"……なるほどね。あなたたちがこの村にいる経緯が
なんとなくわかったわ。
だから深く突っ込むな、ってわけね……。","...I see. I more or less understand the details behind you three getting sent to this village. So that's why you told me not to pry too deep, huh...?",
34,Miyuki (Casual),"いやー、失言失言。
キミが同じ立場の人じゃなかったら、
かなりヤバい発言になってたかもね。","Nooo, I misspoke, I misspoke. If you weren't in the same position as us, that might have been a pretty reckless thing to say.",
38,Nao (Casual),"「かも」じゃないわよ。
あんたってほんとに口が軽いっていうか、
無用心っていうか……。","Not just ""might have"". Are you seriously light-lipped or are you just careless...?",
40,Miyuki (Casual),"はいはい、お小言はあとでゆっくり聞きますよ。
……で、キミはこの後どうするつもり？","Yeah, yeah, I'll listen nice and carefully to your complaints after.
...So, what do you plan on doing next?",
44,縁寿,"どうって言っても…
とりあえず、元の「世界」に戻る手段を探して
とっとと帰るつもりよ。","You're asking me...
Meanwhile, my goal is figuring out how to get back to my original ""World"", and fast.",
46,Miyuki (Casual),"んー、確かにそれが最善策には違いないけど……
なんでここに来たのかがわからないままじゃ、
手がかりがなさすぎだと思うけどなぁ。","Mmm, that would clearly be your best option... but while you're stuck not knowing how you got here, it doesn't look like there are many clues either, y'know?",
48,縁寿,………それは……………、,...That's.........,
50,縁寿,"でも、だからと言ってのんびりしていられないの。
私には元の「世界」でやらなきゃいけないことが
あるのよ。","But like I said, I can't just sit here all willy nilly. I have things I need to do back in my original ""World"".",
54,Nao (Casual),やるべきこと？　それってどういう――。,Things you should do? What would that--,
64,戦人,"ん？　何だよお前ら、ここにいたんだな。
どこに行ったのかと思ってたぜ。","Hm? Wow, so you guys were over here. I've been wondering where you went.",
71,Kazuho (Casual),あ、戦人さん。おはようございます。,"Ah, Battler-san. Good morning.",
79,縁寿,……っ……？！,...gh......?!,
88,戦人,"おお、おはよう。………ん？
そこにいるあんたとは初対面だよな。
一穂ちゃんたちの友人か？","Yeah, morning. ...Hm?
You're a new face. You a friend of Kazuho-chan's?",
90,縁寿,えっと……。わ、私は……。,Um... I-I'm...,
98,朱志香,"……はぁ、………はぁ、……はぁ……！！
ふざけやがれ戦人ぁ！
病院内を勝手に動くんじゃねーぜ！","...Haah... haahh... haaahhh...! Don't screw around with me, Battleeerr! Don't just run off to the clinic on your own!",
106,戦人,"あ、悪い悪い。
でも、ここにみんなが居たからよ。
ちょうどいいじゃねぇか？","Yeah, my bad, my bad. But now we're all here. Isn't this perfect?",
108,朱志香,"まぁ……確かにな。
ん？　何だよその子。ウチの腕章を
付けてるけど…。","Well... I guess.
Huh? Who's that girl? She's wearing our armband too...",
110,戦人,"そう言えば、あんたの服の腕章……
よく見たらその指輪も、『片翼の鷲』だよな。
さすがに祖父さまがはめてる当主の証とは違うよな？","Now that you say it, the armband on her outfit...
Also if you look closely, that ring she's wearing does have the {b}one-winged eagle{/b} on it too. It's the same as the one Grandfather designated as the symbol of the family head, right?",
112,朱志香,"片翼の鷲があるってことは、私が知らないけど
祖父さまが認めた親戚ってことか？うーん。","I have no idea, but does her having the one-winged eagle mean our grandfather recognized her as a relative? Hmm.",
117,縁寿,これは……。,This is...,
