chara442001_02.bytes,chara,jp,en,
35,Satoko,あ、あの……えっ、と……。,U-Uh... u-um...,
37,Satoko,"（この人の名前を、私は知っている……
そしてどこかで、会ったことがある……）",(I know this person’s name... and I’ve met her somewhere before...),
39,Satoko,"（でも、それ以外は何も思い出せない……
どうして？　この人はいったい、何者……？）","(But I can’t remember anything other than that...
Why? Just who is this person...?)",
41,エウア,"ふふ……案ずるな、人の子よ。
我のことを無理に記憶から掘り起こさずとも、
一向に構わぬ。","*chuckle*... at rest, child of man. Do not force yourself to resurface your memories, as this will not matter at all.",
43,エウア,"この「世界」へ繋がる「カケラ」が
漂っていたのを見つけたのでな、
退屈しのぎに立ち寄ってみただけだ。","Since I discovered the “Fragment” to this “World” drifting along, I decided I'd simply drop by out of boredom.",
45,Satoko,……っ……？,...wh-...?,
47,エウア,"そなたがいた故、
興がわいて声をかけたにすぎぬ。",I simply got excited and called out to you since you were here.,
49,エウア,"我も意識を繋げられる確信はなかったが……
愉快であるな。一度成立した「縁」というものは
このような派生も生み出すということか。",I did not have much confidence that I could connect our minds... but how pleasant. So such derivations can exist once the “Link” has been established.,
51,Satoko,"な……何を仰っているのかよくわかりませんわ。
いったい私に、何の御用ですの？","I... I don’t really understand what you’re saying.
Just what business do you have with me?",
53,エウア,"なに、そう身を固くするでない。
そなたの今の「世界」を変えようとまでは
考えておらぬ。","Oh, loosen up. I do not intend to alter your ""World"" as it is now.",
55,エウア,"これまで、様々なカケラを観劇することで、
退屈を紛らわせてきた。","Until now, I have been spectating various fragments to distract me from my boredom.",
57,エウア,"だが、そなたらの会話を聞いて
少し興味が沸いたのだ。","Nonetheless, hearing your conversation has slightly piqued my interest.",
59,Satoko,"……話の趣旨がよくわかりませんわ。
つまり、どういうことかしら？",...I don’t really get the meaning of this conversation. What do you mean?,
61,エウア,"先刻、そなた自身が言っていたではないか。
何かを食べながら観劇をするのも、一興であると。",Had you not said it yourself earlier? How eating something while spectating could be fun?,
63,エウア,"確かに、観劇において何かを食すというのは
観る内容の面白さに準ずるか、場合によっては
それと同じくらいに重要な要素といえよう。",What gets eaten while spectating clearly holds the same level of importance as one's enjoyment of its plot events.,
65,エウア,"茶を喫する合間に菓子をつまむことはあったが、
それではさすがに興がない。
そこで人の子よ、我に何かを持ってくるがよい。","I have snacked on sweets in between sips of tea, but of course, I have tired of that. Therefore, child of man, it would be grand if you could fetch me something.",
67,Satoko,"何かを……って、食べ物をですの？
まぁそれは別に、構いませんけど……。","Something... like, you want something to eat?
Well, that’s... sort of no problem, but...",
69,Satoko,"ちなみにエ……エウアさんは、どんな食べ物が
お好きだったりしますの？　それによって
お持ちするものが変わってまいりますけど。","Anyway, E-... Eua-san, what kind of food would you like? Although what I bring likely won't meet up to your standards.",
71,エウア,"我において好き嫌いという概念は、
はるか過去に消滅した。
ゆえに求めるは驚きと、興がわく代物だ。","As for me, the concept of pickiness has long disappeared in the past; ergo, what I ask is that you surprise me with an exciting product.",
73,Satoko,"食べ物に驚きを求めるというのも、
何かが違う気がしますけど……わかりましたわ。",It feels like something is off when you ask me to get some food to surprise you... but okay.,
75,Satoko,"ただ、思っていたものと違っていても
文句などは言わないでくださいましね。","Just... in the case that what I think of bringing isn’t the correct choice, please do not complain.",
77,エウア,"それは知らぬ。
我の退屈の病を癒すことがそなたの役目だ。","I am not so sure about that.
Curing me of my illness of boredom is your role.",
79,エウア,"見事我の意を得たあかつきには、称賛を。
そうでなければ、相応の報いを与えよう。
ゆえにせいぜい励むがいい、人の子よ――。","In the event that my task for you is carried out well, you will be praised. Otherwise, you will receive a fitting punishment.
As such, I encourage you to do your best, child of man--",
82,Satoko,"あっ、ちょ……ちょっと
待ってくださいませ……！","Ah, ple-... please wait just a moment...!",
89,Satoko,はぁ……無理難題を申しますわね。,"*sigh*... I have an impossible challenge on my hands, don’t I?",
91,Satoko,"（でも、どういうわけかあの人の命令に
逆らうことができない……なぜかしら……？）","(But for some reason, I can’t go against that person’s orders...
Why could that be...?)",
95,Rika,"……？　どうしましたのですか、沙都子。
突然黙ってしまったので、心配したのですよ。","...? What happened, Satoko? You got quiet all of a sudden, so I've been worried about you.",
97,Satoko,"……何でもありませんわ。
思いついたことを整理していただけですから、
お気になさらないでくださいまし。","...It's nothing. I was just sorting out a few thoughts that came to mind, so please don't get worked up over it.",
99,Satoko,"それはそうと、梨花……
あと皆さんにもお聞きしたいのですが。","By the way, Rika... I would like everyone to lend me their ears now.",
101,Satoko,"たとえば、映画鑑賞の時に口にするもので、
頭に浮かぶものといえば、なんでしょう？","If you could eat or drink anything while appreciating a movie, what would it be?",
105,Kazuho,ど……どうしたの、急に？,Wh-... what is this all of a sudden?,
107,Satoko,"先ほども申しました通り、ただの思いつきですわ。
よろしければ、お答えくださいませ。","Just as I've stated before, it was just something that crossed my mind. Please do answer if you can.",
111,Miyuki,"んー、そうだね。……無難なところで言えば、
ポップコーンかなぁ。食べる時に音がしないから、
鑑賞の邪魔にならないしね。","Mmm, good question. ...Popcorn is a safe answer. It doesn't make noise while you're chewing it, so it doesn't hinder your appreciation of the movie at all.",
113,Satoko,"（ポップコーン……ありきたりすぎて、
ご納得いただけない気がしますわ）","(Popcorn... is too conventional, so I feel like she won't accept that from me.)",
117,Kazuho,私は……おにぎりとかは、どうかな？,I'll say... how does onigiri or something sound?,
121,Nao,それは、一穂の好きなものってだけでしょ。,"That's just something you like, Kazuho.",
123,Kazuho,で、でも食べてる時に、音とかはしないよ？！,"B-But that doesn't make any noise when you eat it either, right?!",
127,Rena,"はぅ……おにぎりは、結構食べている音が
わかりやすいと思うな。",Hau... I think the sound of someone eating onigiri is pretty easy to recognize.,
130,Kazuho,うっ……そうかな……？,Ah-... really...?,
134,Mion,"ポテトチップスとかは、どう？
音がするから、家で観る時限定になるけど。","What about potato chips?
Those make noise though, so you'd get restricted to watching at home.",
138,Rika,みー。自宅映画鑑賞の定番なのですよ。,Meep. It's a staple for home film appreciation.,
144,Miyuki,"あ、さきいかとか、エイヒレとかどう？
音はしないし、味も長持ちするし！","Ah, what about dried squid flakes or fried stingray?
They don't make noise {i}and{/i} they have long-lasting flavor!",green text? or should I change to calamari & fish sticks?
146,Nao,……おっさん臭いわね、美雪って。,"...You sound like a grandpa, Miyuki.",
149,Miyuki,うがっ……？！,Gaah...?!,
155,Hanyuu,"あぅあぅ、僕は甘いものがいいと
思うのですよ～！","Au au, I think sweets would be nice~!",
157,Satoko,甘いもの……ジュースとかですの？,Sweets... like juice?,
159,Hanyuu,"うーん、ジュースもいいですが、
もっと、こう、ボリュームを……はっ！","Umm, juice is good too, but something with more volume, like... aha!",
161,Hanyuu,"シュークリーム……？
映画にはシュークリームが
ぴったりなのでは？！",Cream puffs...? Wouldn't cream puffs fit perfectly for watching a movie?!,
165,Nao,それも、羽入がただ好きなものね。,"Again, that's just what you like, Hanyuu.",
167,Hanyuu,"あぅあぅあぅ～！
そういう菜央こそ、何がいいと思うのですか？","Au au au~! Then what do you think would be good, Nao?",
169,Nao,そうね……チュロスなんてどうかしら。,"Right... how about churros, I wonder?",
173,Satoko,ちゅろす……？,Chew rows...?,
177,Miyuki,チュロスって、あのチュロス？,"Churros, like those churros?",
181,Rena,美雪ちゃん、知ってるの？,"Miyuki-chan, you know about them?",
184,Miyuki,"うん。東京のドーナッツ屋さんで
食べたことあるよ。",Yeah. I bought them at a donut shop in Tokyo once.,
190,Satoko,それって、どんな食べ物ですの？,What kind of food is that?,
192,Nao,"ドーナッツの一種よ。
確か、生クリームみたいに生地を袋に詰めて
それを絞り出して揚げるの。","A variety of donut. If I'm correct, they insert the batter into a piping bag, squeeze the batter out, and then deep fry it like that.",
196,Miyuki,"細長くて、サクサクでおいしいよ！
私が食べたのは丸く絞り出したものだけど、
棒状に絞り出すのもあるらしいね？","They're long, narrow, crispy, and overall delicious! The ones I had were circular-shaped, but it looks like there are ones that are rod-shaped too?",
198,Nao,"あたしが食べたのは、遊園地に行った時ね。
そういえば最近、映画館でも売ってるって
友達から聞いたことがあったわ。","I had some when I went to an amusement park.
That reminds me, I've heard from some friends that they're selling them at movie theaters now too.",
202,Mion,"そうなの？　うーん、私が何回か行った
穀倉の映画館じゃ、見た記憶がなかったけど……
やっぱり東京とかだと違ったりするのかな？","Really? Mm, I don't remember seeing them in all the times I went to the movie theater in Gogura, though... so they are different from the ones in Tokyo, I'm guessing?",
204,Nao,"東京限定なのかはよくわからないけど……
食べる音も気にならないから、
それなりに人気の食べ物らしいわよ。","I have no idea if those are limited to Tokyo... but the sound it makes while you eat it won't be bothersome, and it seems like it's a popular snack in its own right.",
208,Hanyuu,"あぅあぅ、おいしそうなのです！
僕もその……チュロスというお菓子を
食べてみたいのですよ～！","Au au, it sounds tasty!
I also want to try, um... those churros as a snack sometime~!",
212,Satoko,それって、簡単に作ったりできますの……？,Can you make those easily...?,
214,Nao,"えっ……？　まぁ、そこまでの手間は
かからないと思うけど、詳しいレシピは……。","Huh...? Well, I feel it wouldn’t take too long to make, but as for a detailed recipe...",
218,Miyuki,"たぶん、ドーナッツの応用で作れると思うよ。
食べたい？",Maybe you can make them using a recipe for donuts. Wanna eat some?,
221,Satoko,"え……えぇ！
ぜひ食べてみたいですわ！",Y-... yes! I'd absolutely love to try it!,
223,Miyuki,"じゃあ、放課後になったら作ってみようか。
レナ、悪いけど手伝ってくれる？","Why don't we try making some after school then?
Sorry, Rena, but would you mind helping?",
227,Rena,"うん、もちろん！
はぅ～、チュロスってかぁいいかな、かな？","Not at all! Hau~, I wonder if these churros are cute, are cute?",
