chara072005_01.bytes,chara,jp,en,Notes TL,Notes QC
36,Mion,"よーし、今日の練習はこのへんでおしまい！
みんな、お疲れさまー！","Okaay, that does it for today's practice!
Thanks for the hard work, everyone!",,
42,Miyuki,"ふぅ……やっと終わったぁ。
今回の演劇は結構派手に動くシーンが多いから、
思ってたよりも身体にくるよ。","Aaah... we're finally done.
This part of the play had a lot of really flashy scenes, so there was a lot more moving around than I thought.",,
45,Rena,"あははは。でもみんな、練習を始めた頃より
ずっといい感じになってきたと思うよ？","Ahahaha. But I think we've all gotten better since we started practicing, no?",,
47,Rena,"特に、圭一くんと魅ぃちゃんの最後の対決シーンは
すっごくカッコよくて……はぅはぅ～♪",Keiichi-kun and Mii-chan's showdown at the end in particular was super cool... hau hau~♪,,
52,詩音,"ですねー。一緒に演技しているこっちまで、
２人の熱演に引き込まれそうになりましたよ。","It sure was. Their performance was so breathtaking that I felt like I was going to get sucked in, even while acting together with them.",,
56,圭一,"おっ、そうか？
へへっ……だったら俺も、お前らの劇に
参加したかいがあったってもんだぜ！","Oh, really?
Heheh... then I'm glad I joined the play!",,
60,Rika,"みー。最初に候補にあがった脚本だと暗すぎるので、
明るいヒーローものに変えようと途中で決めた時は
ちゃんと間に合うか心配しましたですが……。",Meep. I was worried we wouldn't make it in time since we rewrote it from a dark-themed play to a light-hearted one midway through...,,
62,Rika,"やっぱり、変えてよかったのです。
これなら子どもたちも、きっと喜んでくれると
思うのですよ。にぱー☆","But I'm glad we pulled it off.
I think the kids are going to be pleased with it if we do it this way. Nipah~☆",,
66,Satoko,"をーっほっほっほっ！　これぞいわゆる、
『雨降って血固まる』の典型的なパターンと
いうやつですわ～！","Ohohohoho! This is definitely a classic example of that one saying, ""Blood hardens after the pain""~!",this is the best i can do to balance localization and the original meaning,
70,Hanyuu,"あ、あぅあぅ……沙都子、固まるのは「血」では
なくて、「地」なのですよー。","A-Au au... Satoko, what hardens after {i}the rain{/i} in that saying is ""dirt"", not ""blood"".",""" """,
74,Nao,"……誤用にしても、物騒な字を使ってきたわね。
ひょっとしてわざと？","...That wording was particularly unsettling even if you misspoke.
Could you have said this on purpose?",,
77,Satoko,"し、失礼なっ！　私なりに、圭一さんと魅音さんの
頑張りを称賛しようとしただけですわ！",H-How rude! I was trying to praise Keiichi-san and Mion-san's great work in my own way!,,
82,Mion,"はいはい、喧嘩漫才はそのくらいにして。
……ねぇ、お腹空かない？　うちにおはぎがあるから、
よかったらみんな、帰りに寄っていってよ。","Alright, alright, I think you guys sold the punch line already.
...Hey, who's hungry? We can drop by my place and get some ohagi if you guys like.",,
86,Rena,"はぅ～っ、いいねいいね！
菜央ちゃんも一緒にどうかな、かな？","Hauu~, yeah, yeah!
Nao-chan, would you maybe want to come with me, come with me?",,
89,Nao,"あ、あたしはレナちゃんが行くなら、
もちろん喜んで……！　美雪たちも行くでしょ？","O-Of course I'd love to go with you if you're going, Rena...!
Do you guys want to come too?",,
93,Miyuki,"んー、そうだね。この感じだと、夕飯まで
お腹が持ちそうにないし……ご相伴に預かろうかなっ。","Mmm, I wonder. That probably won't hold me over for dinner... I might have to decline.",,
98,詩音,"……あー、私は遠慮しておきます。
確か今日って鬼婆がずっと屋敷にいる日でしたから、
私がみんなと一緒ってのは、ちょっと……。","...Ah, I'll pass. I'm pretty sure the hag was at home all day, so me being there with everyone is... kinda...",,
102,Mion,"は？　詩音、今さらなにを遠慮しているのさ。
口に出したりはしないけど、婆っちゃはあんたが
本家に来ること、もう悪く思ったりはしてないよ。","Huh? Shion, what are you passing on it for at this point?
She never says it out loud, but Granny doesn't think badly about having you near the main house anymore.",,
104,Mion,"その証拠に、時々あんたが荷物とかを取りに来ても
私や母さんにうるさく言うことがなくなったしねー。
だから大丈夫、問題なし！","As proof of that, she doesn't complain that its loud to me or Mom when you come over to pick up your stuff from time to time. So it's fine, absolutely no problem!",,
106,詩音,"そ、そうですか……？　あのねちっこい鬼婆がそうも
心変わりするなんて、いったい何があったんだか……。",R-Really now...? I don't know what happened to that stubborn old hag to make her have a change of heart...,,
108,詩音,"んー、でもやっぱり今日はやめておきます。
バイトの開始まで時間の余裕もありませんし、
沙都子に「大事な」用がありますからね～。","Mmm, but yeah, still, I'm good with that for today.
I don't have long until my part-time job starts, and I have {i}important{/i} things to do with Satoko~.",,
113,Satoko,"ひっ？　な、なんですの詩音さん……？
私は今日、特に何も責められるようなことは
しておりませんわよっ？","Eek? Wh-what do you mean, Shion-san...?
I didn't do anything particularly reprehensible today, did I?",,
115,詩音,"ほー、心当たりがない……とでも？
……監督から聞いた話によると、最近あなたは
「歯医者」に通っていたそうですね……？","Hoh, so you're saying you aren't aware...?
...I heard from Coach that it seems you've been seeing a {i}dentist{/i} recently...?",,
118,Satoko,"ぎぎくぅぅっ？　な、なんのことかしら……？
を、をーっほっほっほっ……。","*gulp*?! Wh-what do you mean by that...?
O-Ohohoho...",,
122,Rika,"とぼけても無駄なのです、沙都子。
#p興宮#sおきのみや#rの歯科医の先生から、入江に連絡があったと
ボクたちはすでに把握済みなのですよ。にぱー。","Playing dumb is pointless, Satoko.
We already know very well that the dentist in Okinomiya contacted Irie. Nipah~.",,
124,Satoko,"な……なんですってぇえぇぇっ？
患者のプライバシーを守らないなんて、
医者の風上にも置けませんわぁぁっ！","Wh-...whaaaaaaat?
It's not very doctorly to betray the privacy of your patieeeents!",,
128,Hanyuu,"……あぅあぅ、沙都子。飲み薬の相性のことも
あるので、お医者さんたちは普段から連絡を
取り合うものなのですよ～。","...Au au, Satoko. Doctors regularly keep in contact with each other to check the compatibility of the medicines they prescribe~.",,
132,Rika,"それに、最近の沙都子は水の飲み方が変だったのです。
おそるおそる、ボクたちに顔を見られないように……。","Plus, recently you've been drinking water weirdly.
It's like you timidly turn your face away so we can't see...",,
134,Satoko,"べっ……別に、虫歯が痛んだわけじゃありませんのよ？
ただちょっと、冷たいものだと少しだけ、
しみるような違和感があると申しますか……。","I'm-... I'm not actually suffering from a cavity, you know?
But there this teensy, tiny sting-like sensation whenever I have something cold...",,
138,詩音,"それを虫歯って言うんですよ。……まぁそんなわけで、
沙都子を歯医者に連れていきます。
あ、他の方々は気にせずに楽しんできてくださいね～。","That sounds like a cavity. ...Well, in any event, I'm taking you to see the dentist. Oh, and as for everyone else, do please have fun without worrying about it~!",,
142,Mion,"うーん、そういうことなら仕方ないか。
んじゃ沙都子、歯の治療が終わるまで
甘いものはしばらく我慢するんだね～。","Mmm, can't be helped in that case.
Well then, Satoko, until your dental work is finished, you'll have to lay off the candy for a while~.",,
146,Rena,"頑張ってね、沙都子ちゃん。
食べられるようになったら、レナたちがいっぱい
甘いものを作ってあげるから、ねっ？","Get well soon, Satoko-chan.
Once you can eat again, Rena and everyone will make all sorts of sweet things for you, okay?",,
