chara072005_02.bytes,chara,jp,en,Notes TL,Notes QC
33,Rena,"一穂ちゃん……今日はずっと、元気がなかったね。
お弁当も残していたみたいだし、身体の調子でも
悪いのかな……かな？","Kazuho-chan... wasn't very lively today.
She didn't finish her bento, so I wonder if she's not feeling well... not feeling well?",,
36,Rika,"みー。今日だけではないのです。
一穂はここしばらくずっと、口数が少なくて
様子が変なのですよ。","Meep. It wasn't just today either.
For a while now, Kazuho has been talking very little and acting strange.",,
40,圭一,"……梨花ちゃんの言う通りかもな。
正直、俺の気にしすぎかもと思って
みんなには黙っていたんだが……。","...Rika-chan's probably right.
To be honest, I kept quiet about it because I thought I was overworrying, but...",,
42,圭一,"一穂ちゃん……練習の時どころか休憩中も、
最近は俺と目を合わせてくれねぇんだよ。
……なんか俺、悪いことしたか？","Kazuho-chan... won't even make eye contact with me these days, not during practice, and not during breaks. ...Did I do something bad?",,
46,Miyuki,"えっ……そうなの？
いや、私たちに対しては普段通りだったと
思うんだけど……。","Woah... really?
I feel her and I have been just as we usually are, though...",,
50,Satoko,"圭一さんの勘違いではありませんこと？
少なくとも私たちの見ている限り、一穂さんが
怒るようなことは何もなかったと思いますわ。","Are you sure you're not mistaken, Keiichi-san? I don't think Kazuho-san has appeared angry at all, at least as far as we can see.",,
55,Rika,……みー。勘違いではないかもなのです。,...Meep. It might not be a misunderstanding.,,
59,Satoko,えっ……？　どういうことですの、梨花？,"Huh...? What do you mean, Rika?",,
61,Rika,"ボクにも、圭一と同じような心当たりがあるのです。
さっき練習が終わった後、一穂に話しかけようと
したのですが……。","I had an experience similar to Keiichi's. After the end of practice earlier, I tried to start a conversation with Kazuho, but...",,
63,Rika,"ボクの顔を見るなり、まるで幽霊でも見たように
怖がられてしまったのです。反応が大きすぎて、
逆にこっちがびっくりしたくらいなのですよ。","As soon as she saw my face, she got scared like she saw a ghost.
Her reaction was so intense that it surprised {i}me{/i}.",,
67,Miyuki,"うーん……やっぱりあの、最初の台本が
良くなかったのかなぁ。前原くんと梨花ちゃんが
裏切るっていう、ショッキングなオチだったからさ。",Yeah... maybe the first script wasn't all too great after all. It was a shocking ending with Maebara-kun and Rika-chan turning evil.,,
71,Nao,"結構、重い展開だったもんね。
さすがに子ども向けには難しすぎるってことで、
王道寄りに変えようって話になったんだけど……。","It was a pretty hard-hitting twist, wasn't it?
And it was for sure much too serious for something intended for kids, and that's why we started talking about making it more palatable...",,
73,Nao,"でも、確かに一穂は酷い台詞を言われたりもしたけど、
あくまでお芝居の中のことでしょ。
なのに、それほど深刻に考えるものかしら……？","But it is also true that Kazuho had some cruel lines spoken to her, but that was just part of the play in the end. Did she really take it so seriously despite that?",,
78,Hanyuu,"……。一穂にとって、そうではなかった可能性も
あるかもしれないのですよ。",...That may not exactly be the situation with Kazuho right now.,,
82,Nao,っ……羽入、それってどういう意味？,"......What could you mean by that, Hanyuu?",,
84,Hanyuu,"あ、あぅあぅ……ごめんなさいなのです。
なんとなくそう思っただけなので、その……。",A-Au au... I'm so sorry. I'm just thinking aloud... um...,,
89,Rika,…………。,...........,,
100,Kazuho,はぁ……みんなに、悪いことしちゃったな。,*sigh*... I did something terrible to them.,,
102,Kazuho,"夢だって、頭ではわかってるつもりなんだけど……
どうしてもあの時のやりとりのことが、頭から
離れてくれなくて……。",I know it was just a dream all in my head... but I can't stop thinking about that conversation back then...,,
109,Rika,……一穂。,...Kazuho.,,
112,Kazuho,っ？　り、梨花ちゃん……どうしてここに？,Mm? R-Rika-chan... why are you here?,,
114,Rika,"なんとなくなのです。……一穂のあの感じだと、
まっすぐ家には帰らないと思ったのですよ。","Just by chance. ...The way things were, it made me feel that you wouldn't go straight home.",,
116,Kazuho,あ、あははは……そっか、ごめんね。,A-Ahahaha... I see. I'm sorry.,,
118,Rika,"魅音の家からおはぎを、少しもらってきたのです。
よかったら、一緒に食べてくれませんですか？","I brought some ohagi from Mion's house. If you like, we can eat together?",,
120,Kazuho,……ありがとう。でも、今はちょっと……。,"...Thanks. But right now, I'm a little...",,
122,Rika,"みんな、心配しているのです。
一穂は何か、悩みごとを持っているのでは
ありませんですか？","Everyone is worried about you.
Do you maybe have something causing you trouble?",,
124,Kazuho,…………。,............,,
132,Rika,"一穂。ボクたちは仲間なのです。
話したくないのなら、もちろん無理に聞こうとは
思わないのです。でも……。","Kazuho, we're your friends. If you don't want to talk, then of course I won't force you to. But...",,
134,Rika,"もし、話して少しでも楽になるのであれば……
あなたの力になることはできませんですか？","Maybe speaking to us will help you feel better... and we can lend you our support in response, you know?",adjusted slightly,
138,Kazuho,梨花ちゃん……。,Rika-chan...,,
145,Kazuho,"……。こんな話をしたら笑うか、呆れるかもね。
もしかしたら、からかうなって怒られるかな……？","...When I tell you this story, you might find it funny or feel disgusted.
Or maybe you'll get mad at me and think I'm pulling your leg...?",,
148,Rika,…………。,............,this is such a weird response for rika lmao kanou wyd,
150,Kazuho,"私……夢を見たんだ。
ううん、ひょっとしたら夢じゃなくて……
本当に存在した、別の世界での体験を……。","I... had a dream.
No, maybe it wasn't a dream... it felt like I was in a different world that really existed...",,
