chara042001_02.bytes,chara,jp,en,Notes TL,Notes QC
27,Kazuho (Casual),"……って、気をつけてたはずなのに、
なんでこんなことに……？","...I said we would be careful, but how did this happen...?",,
30,？？？？,何言ってんだ、テメェ！,"Whadjya say, bitch?!",,
32,？？？？,人を転ばせておいて、その態度はなんだ！,"Ya knock over a guy, then ya got an attitude?!",,
34,Kazuho (Casual),え、えーっと……。,"Ah, um...",,
38,Nao (Casual),"あんたたちがわざとぶつかってこようとしたのを
避けられて、勝手にスッ転んだだけでしょ。
言いがかりは止めてよね。","You guys tried to bump into me on purpose, and while I avoided it, you still made a show of falling over. You should quit with the false accusations.",,
40,？？？？,なんだ、このチビ！,"Wuzzat, pipsqeak?!",,
44,Miyuki (Casual),おぅ、なんというか……その……。,"Um, well... you see...",,
47,Nao (Casual),なに、まさか怖いの？,"What, you're not afraid, are you?",,
49,Miyuki (Casual),"いや、むしろ逆。ちょっと感動してる。
こういう昭和みたいな展開、本当に
存在したんだね～。","No, it's the opposite. I'm a little impressed.
This kind of Showa-esque scenario is really playing out, huh~?",,
51,Nao (Casual),みたいじゃなくて、今は昭和よ。,"It's not Showa-{i}esque{/i}, this IS Showa.",,
53,Miyuki (Casual),"っと、そうだったねー。
んー、でもどうしよう。
一般人相手に『ロールカード』は使えないしなぁ。","Oh, I guess you're right. Mmm, but now what do we do?
We can't use {b}Role Cards{/b} against regular people.",,
55,Miyuki (Casual),ということで、結論。２人は先に帰ってて。,"Ah, I know: you two go head on home.",,
60,Kazuho (Casual),えっ……？　１人でどうするの、美雪ちゃん？,"Eh...? What are you going to do alone, Miyuki-chan?",,
62,Miyuki (Casual),"あー、心配いらないって。
１人１本程度で、勘弁してあげるつもりだから。","Oh, don't worry.
I'll go easy on 'em with just one per guy.",,
64,Kazuho (Casual),い、１本ってなに？　背負い投げ？,"Wh-what do you mean by ""just one""? Just one judo throw?",,
66,Miyuki (Casual),骨☆,One bone☆,,
69,Kazuho (Casual),骨は、ダメーっ！　折るのだめーっ！,D-Don't! You can't break their bones!,,
71,Miyuki (Casual),"えー、なんでさ？
この人数だと骨の１本くらいやらないと、
逃げらんないよ？","Whaat, why not?
We're not gonna get away from this many people unless I break at least one bone, y'know?",,
75,？？？？,"はぁっ？
黙って聞いてりゃ、何様だテメェら！",Whaa? Shuddup'n listen'a me! The fuck ya bitches think ya are?!,,
78,Miyuki (Casual),んー、じゃあ普通に帰してくれる？,"Mmm, well, could you let us go home?",,
81,？？？？,帰すわけねぇだろ！,Iyain lettin' ya go noplace!,,
83,？？？？,慰謝料払え！,Pay up!,,
86,Nao (Casual),はぁ……なんのための慰謝料よ。,*sigh*... what for?,,
89,Kazuho (Casual),"えぇっと、その……
お金を払わなきゃいけないようなことは
なにもしてないけど、ひとまず穏便に……。","Umm, that's... 
We haven't done anything that's worth paying for, so I'll just make my way-...",,
93,？？？？,ここまで舐められといて、穏便にできるかっ！,"Ya been fuckin' wit us up til now, so make my way my ass!",,
102,Miyuki (Casual),っ……一穂、危ないっ！,"...Kazuho, watch out!",,
105,Kazuho (Casual),……っ……？！,...*gasp*...!,,
115,圭一 (ヒーロー),どぉりゃああっ！！,Doryaah!!,,
119,？？？？,ぐあっ！,Guhoh!,,
121,？？？？,な、なんだ？！　何が起こった？！,Wh-wha?! What just happened?!,,
123,？？？？,きゅっ、急にお面野郎に殴られた……！,S-Some shithead in a mask jus' hit me...!,,
125,圭一 (ヒーロー),"お面野郎ってなぁ……
見た目そのまんまじゃねぇか。
もう少し呼び方を考えろってんだ、ったく。","Shithead in a mask, huh... that's the first thing you come up with?
Honestly, you need to come up with some better descriptions.",,
126,Kazuho (Casual),えっ、あっ、あなたは……？,"Huh, ah, is that...?",,
128,圭一 (ヒーロー),いいから、ここは俺に任せて先に行け！,"It's alright now, so run ahead and leave this to me!",,
130,圭一 (ヒーロー),"へへっ、こういう台詞って
一度言ってみたかったんだよな～！","Heheh, I always wanted to say that at least once~!",,
132,？？？？,何ふざけてやがるんだ、お前はっ！,Ya got some nerve ta fuck wit' us!,,
134,？？？？,やっちまえぇ！,Get 'em!,,
136,圭一 (ヒーロー),"典型的な三下の台詞、ありがとよ！
こっちもいくぜっ！","Thanks for the cliché catchphrases, lowlives!
This is gonna be fun!",i redid the second sentence,
143,Miyuki (Casual),"……はっ！
ぼーっと見てる場合じゃなかった！",...Ah! This isn't the time to be getting distracted!,,
146,Nao (Casual),"逃げるわよ……！
ヒーロー！　最初に会った場所で待ってるわ！","Let's go...!
Hero! We'll be waiting for you in the spot where we first met!",,
153,圭一 (ヒーロー),おう、後で必ず追いつくぜ！,"Yeah, I'll catch up with you later!",,
161,Miyuki (Casual),行くよ、一穂！,"Let's go, Kazuho!",,
163,Kazuho (Casual),う、うんっ！,O-Okay!,,
