event01_30_08.bytes
index,chara,jp,en
29,,　六軒島で過ごす最後の夜……。
30,,"　最高のディナーを心から満喫して、胸もお腹も幸せでいっぱいに
して眠れるはずだったんだ……。"
33,？？？？,"食後のお飲み物ですが、コーヒー、紅茶、塩昆布茶の用意がござい
ますが、如何なさいますか？"
36,ヱリカ,……………………。
40,Mion (Casual),………………………。
45,詩音 (Casual),……あ、私は紅茶、ホットで。
47,Nao (Casual),それ以外の人も、みんな温かい紅茶をお願いします。
52,？？？？,か、畏まりました……。
53,,"　この重い空気は、魅音さんがヱリカさんの自作自演を疑ったから
に他ならない。"
54,,"　少なくとも、昨日の悪戯の犯人は、ほぼ間違いなくヱリカさん
だ。"
55,,"　そしてヱリカさんも、自分が一番に疑われていることをすでに
知っている。"
59,Nao (Casual),"だから……、自作自演して、自分は犯人ではないとアピール……す
るかしら……。"
61,ヱリカ,そんなことしないですッ。あの魔法陣は私じゃありませんッ！
63,Nao (Casual),"わかってるわ。……これがあなたの自作自演なのだとしたら、……
あまりにセンスがないわ。"
65,ヱリカ,…………ふん。
70,,　……その時、少しだけ辺りが薄暗くなった気がした。
74,,"　え？　……魅音さんと詩音さんが、……すぅっと、蜃気楼か何か
のように消えていく。"
75,,"　ヱリカさんとあたしはそのまま。
　そして、魅音さんと詩音さんが消えた席に、………あの、夢の中
の魔女たちの姿が……。"
82,ベアトリーチェ,"ハァッピーバースデー！！！　おめでとう自分！　ありがとうみん
な！　妾は幸せ者であるぞー！！"
89,,"　パチパチパチパチ！！！　姿の見えない大観衆が祝福してくれる
かのような音が響き渡った。"
93,ベアトリーチェ,"どうだぁ、菜央ォ？！　今夜でお別れだぜぇ？　２つ目の魔法陣も
楽しんで行ってくれよぉ！"
95,Nao (Casual),……いつの間にか、あたしは夢の中なの……？
97,Nao (Casual),"まぁ、そこを悩んでも仕方がないわ。あたしがいて、
ヱリカさんがいてベアトリーチェがいて、ドラノールさんがいる。
それが全てだわ。"
102,ドラノール,"つくづく頭の切り替えの早い方デス。……航海者に必要な、異郷へ
の適応力に優れていマス。"
107,ヱリカ,"さぁ、菜央ちゃま？　楽しみましょう！　頑張れば、ベアトから
ご褒美が出るそうじゃないですか。"
109,Nao (Casual),あたし、昨夜の謎だって解けてないのよ……。今夜のだって……。
113,ベアトリーチェ,まぁまぁ。昨日のは小手調べということでよい。
115,ベアトリーチェ,"今夜の、ヱリカの部屋の魔法陣の謎を解けたなら、それで褒美をく
れてやろうぞ。"
120,ドラノール,"頑張ってください、菜央。私も、もっとサポートすることにしマ
ス。"
125,Nao (Casual),もうごめんよ、こんなゲーム。……と、言いたいところだけれど。
127,ベアトリーチェ,うむ！　朝が訪れるまで、終わることはないのだぞ。くっくっく！
130,,"　はぁ……。
　覚悟を決めよう。"
131,,"　少なくとも、昨日のやりとりで、あたしを酷い目に遭わせようと
いう訳ではないことがわかった。"
132,,"　魔女とヱリカさんは胡散臭いが、このドラノールさんという人は
信頼できる気がする……。"
136,Nao (Casual),ドラノールさん。……あたしはどうして、魔女とこんなゲームを？
138,Nao (Casual),"まさか、魔女の誕生日プレゼントの生贄にされる、……とか言わな
いでよ？"
140,ドラノール,"この島と黄金郷の主であるベアトリーチェ卿は、魔女であるならば
逃れ難い、ある病を患っているのデス。"
142,Nao (Casual),……ある病……？
146,ベアトリーチェ,"退屈の病だ。くっくっく！　突いても焼いても死なぬ魔女も、退屈
の海に呑み込まれれば、海の藻屑よ。"
151,ヱリカ,"その為、魔女たちは時折、手紙やカケラを送り合います。互いに新
しい刺激と、物語を送り合い、互いに病から逃れる為に。"
153,ヱリカ,"まぁ、今回はそれが、ベアトリーチェの誕生日祝いという形を取っ
ている訳ですが。"
158,Nao (Casual),……なぜ、魅音さんや詩音さんじゃなくてあたしなの。
160,ベアトリーチェ,それはほら、アレだ！　そなたが一番、妾と馬が合ったからよ。
165,ドラノール,それに他意はありマセン。私が保証しマス。
169,Nao (Casual),"じゃあ、あたしと魔女のゲームとやらで知恵比べをして、退屈を忘
れる為に遊びたかったという訳？"
172,ヱリカ,"そういうことになりますね。魔女というのは、えてして孤独な生き
物ですので。"
177,ベアトリーチェ,"さりとて、慎ましく、遊んで下さいなとも頼めないのが、魔女の不
器用さというものよ。"
179,ベアトリーチェ,"妾は、そなたとのゲームを大変に楽しんでいる。それで妾は十分に
癒され、幸せになれた。"
184,ヱリカ,"寛大なことに。勝敗は特に気にしていないのです。ゲームだけで十
分に楽しかったのだそうです。"
186,Nao (Casual),"あたしが負けると魂が取られるとか、何かの企み事を密かに進めて
いるとか、そういうのじゃないのね……？"
190,ドラノール,"そのようなことはありマセン。天界大法院の一等大司教、このドラ
ノール・Ａ・ノックスが保証しマス。"
192,Nao (Casual),………………………。
198,Nao (Casual),わかったわ。そういうことならば、
202,Nao (Casual),お誕生日おめでとう。ミズ・ベアトリーチェ。
204,Nao (Casual),お相手を謹んで引き受けるわ。……ただね、あたし、
207,,"　あたしはちょっぴり行儀悪く、座ったまま椅子を引き、大きく足
を組む。"
208,,"　ディナーの席では行儀よくだけれど。……退屈凌ぎのゲームとは
いえ、勝負事だもの。"
211,Nao (Casual),"ものすごく負けず嫌いなの。あたしは、勝っても負けても楽しかっ
たなんて言わないわ。"
218,ヱリカ,グッド。やはり貴女は、私の期待を裏切りませんね。
220,ヱリカ,"フェリーでお見掛けした時に感じた、私の直感は当たっていまし
た。"
225,ベアトリーチェ,"嬉しいぞ、菜央ォ！　お前は本当にいいヤツだなぁ！　さぁ、今宵
は存分に楽しもう！！"
227,ドラノール,菜央。……改めまして、状況を説明いたしマス。
229,ドラノール,ヱリカの部屋に現れた、魔法陣の悪戯……。
231,ベアトリーチェ,"妾はそれを、人間には不可能であるとして、魔女の仕業であると主
張する！"
235,Nao (Casual),"あたしは人間に可能な悪戯だと主張するわ。そして、犯人はヱリカ
さんだと主張するわ！"
239,ヱリカ,ふふッ、グッド。存分に掛かってきて下さいな。
244,ドラノール,そして、ヱリカもまた、プレイヤーデス。
249,Nao (Casual),どういうこと？　あたしと魔女の、二人の戦いじゃないの？
251,ベアトリーチェ,"今宵はひとつ、三つ巴の戦いと行こうではないか！　妾も楽しみで
あるぞ！"
255,ヱリカ,私も菜央ちゃまと同じく、ニンゲンに可能な悪戯だと主張します。
257,Nao (Casual),共闘？
265,ヱリカ,違います。私は犯人を、詩音さんだと主張しますッ。
270,,　なるほど。３人が全員、異なる主張をする。
272,,"　今夜の魔法陣は、魔女の仕業か、ヱリカさんの自作自演か、さも
なくば詩音さんの犯行か！"
275,ドラノール,それでは、今宵の朗読者は私が担当させていただきマス。
277,ドラノール,"それでは御三方。状況を説明いたしマス。
御拝聴をよろしくお願い致しマス……。"
290,ドラノール,今回の魔法陣は、ヱリカの客室で見つかりマシタ。
292,ドラノール,"帰ってきたヱリカが、開錠して入室した後に、荒らされたベッドを
発見。シーツに魔法陣があるのを発見しマシタ。"
294,,"　……まず、ここにひとつ、確認したいことがあるけれど、今は大
人しく耳を傾けよう。"
297,ドラノール,"ヱリカは本日、昼にゲストハウスに戻るまで、部屋の施錠を忘れて
おりマシタ。"
299,ドラノール,よって、昼に施錠するまでの間は、誰でも入室が可能デシタ。
301,,"　ここが肝。……ポイントは、昨夜の魔法陣と同じ。
　ヱリカさんは、室内に異常がないことを確認した上で施錠してい
る。"
302,,"　普通に考えれば、犯行はこれ以降となるのだが、……施錠は完全
な密室になってしまうのだ。"
308,ドラノール,#ff0000施錠後は、ヱリカが開錠するまで、室内は完全な密室デス。#r
313,ドラノール,#ff0000室内には誰も存在せず、また、仕掛けの類も存在しませんデシタ。#r
318,ドラノール,"#ff0000魔法陣の悪戯は、入室した人物の手によってでしか、行なうことは#r
#ff0000出来マセン。#r"
320,ドラノール,とりあえずは以上になりマス。……皆様、どうぞご考察ヲ……。
322,,　３人のプレイヤーのそれぞれに相手の表情を伺い合う。
323,,"　皆、今さら考えるような段階にはないらしい。
……ドラノールさんに質問や青き真実を投げ掛けたくて
うずうずしている……。"
326,ドラノール,"それでは、スタートプレイヤーには、ベアトリーチェ卿の誕生日を
祝って、ベアトリーチェ卿を指名させていただきマス。"
333,ベアトリーチェ,ハピバ！　妾！！　それでは……、参ろうぞっ。
335,ベアトリーチェ,"帰ったヱリカは施錠を開けて入室したが、菜央たちがヱリカの悲鳴
を聞くには、少しの間があったはず。"
342,ヱリカ,"そうですね。鍵穴にゴミが詰まってないか、確認してから入室しま
したので、多少は。"
344,,"　……ベアトリーチェが、どうしてそこに切り込むの？
　ヱリカさんの自作自演を疑うあたしが、そこを突いて追及しよう
と思っていたのに……。"
348,ベアトリーチェ,まずは菜央の希望を絶とう。ドラノールよ。復唱要求。
350,ベアトリーチェ,"“ヱリカが入室してから悲鳴を聞いて菜央たちがやってくるまでの
間に、魔法陣の悪戯をすることは時間的に不可能である”。"
352,ドラノール,お受けしマス。
357,ドラノール,"#ff0000ヱリカが入室してから悲鳴を聞いて菜央たちがやってくるまでの間#r
#ff0000に、魔法陣の悪戯をすることは時間的に不可能デス。#r"
362,Nao (Casual),えっと、それって、ヱリカさん以外の人も含めてます？
366,ドラノール,ハイ。
371,ドラノール,"#ff0000ヱリカが入室してからでは、如何なる方法を用いようとも、#r
#ff0000魔法陣の悪戯をすることは出来マセン。#r"
376,ヱリカ,"私の濡れ衣を晴らしてくれてありがとうございます。ね？　自作自
演ではないでしょう？　時間が足りないんです。"
