chara072017_02.bytes,chara,jp,en,Notes TL,Notes QC
29,Satoko (高校生クリスマス),"ところで、梨花。
あなたは生徒会長と、いつ知り合いましたの？","By the way, Rika. When did you first meet the student council president?",,
31,Rika (高校生クリスマス),"……最初に知ったのは、
入学して少し経ってからだったかしら。",...The first time I met her was a little while after we enrolled here.,,
33,Satoko (高校生クリスマス),あら。だとしたら、私よりも早いですわね。,Oh my. Then you've known her even longer than I have.,,
35,Rika (高校生クリスマス),"最初は噂で聞いただけよ。
２年生に、とんでもない不良がいるって。
それで……。",I would only hear rumors about her at first. Like how there's a terrible delinquent among the second years. And then how...,,
37,Rika (高校生クリスマス),…………。,…………,,
39,Satoko (高校生クリスマス),……梨花。何を隠しておりますの？,...Rika. What are you hiding from me?,SEITOKAICHOU IS A LESBIAN TOO!!!,
42,Rika (高校生クリスマス),えっ？,Huh?,,
43,Satoko (高校生クリスマス),"隠し事はなしですわよ？
何があったか、話してくださいまし。","No keeping secrets, okay? Tell me what happened.",,
45,Rika (高校生クリスマス),"向こうが覚えているかは
わからないけど、６月の中間過ぎ……かしら。
そこで、私は……。","I don't know if she remembers it, but it was around the middle of June... 
I believe. Back then, I...",,
55,Rika (高校生),……。あら……？,...Oh...?,,
57,,"勝手に自分の特等席だと思っていたベンチに、
ひとりの女子生徒が座って……いや。","A student was sitting alone on the bench that I had believed was my special seat... no, actually...",,
58,,"はしたないほどにだらりと身体を投げ出して、
「寝そべって」いた……。","She was sprawled all over it, so much that it looked disgraceful.",,
61,Rika (高校生),……。酔いどれのオッサンみたい。,...She looks like a drunk old man.,DAMNFDJAGHKG,
63,,"迂闊なことに、私は思ったことをそのまま
口にしてしまって……。",I carelessly thought out loud...,,
64,,"しかもあろうことか、その言葉が「彼女」の耳に
届いてしまったのか……
突然閉じた目がぱちり、と開かれた。","Moreover, it seems it reached ""her"" ears...
She blinked a few times before fully opening her eyes.",,
67,？？？？,……っ、……んん～……？,...nh... Nnnnn~...?,,
70,Rika (高校生),っ、……あの、大丈夫です……か？,"...Um, are you okay...?",,
72,,"ひょっとすると体調不良の可能性もあるので、
慎重に様子をうかがいながら女子生徒に声をかける。","She might be feeling sick, so I call out to the girl while checking up on her.","There's a chance she's feeling sick. ""There could be a chance"" is kind of redundant, since a chance is just.. a chance",
73,,"すると彼女は、一杯に伸びをして起き上がりながら
大きなあくびを口から吐き出していった。","But just then, she let out a big yawn while stretching.",,
77,？？？？,"いやー、よく寝たぁ。
ルチーアは、本の管理状態だけはいいですからね。
次々に読んでも読む本が尽きなくて、助かります。","Man, I slept so well. I'm glad Lucia is good at keeping a steady influx of books at the very least. No matter how many of them I read, they never run out of new ones; it's great.",reworded slightly,
80,？？？？,"では、そろそろ授業に出るとしましょう。
……すみません、今は何時くらいですか？","Well then, time to go to class. ...Excuse me, what time is it now?",,
83,Rika (高校生),……もう放課後ですけど。,"...School is over already, though.",,
85,,"驚きすぎて、思わず返事が
ぎこちなくなってしまったことを覚えている。","I remember that I was so surprised, I ended up replying very awkwardly.",,
86,,"このルチーアで授業をサボるなんて行為は
問答無用、一発で反省室送りとのことだ。","Once you're found skipping classes at Lucia, you get sent to the reflection room right away, no questions asked.",,
87,,"なのに、それをここまで大っぴらに、あけすけに
やってのけるこの人は……バカか？　バカなのか？","And yet there's someone slacking off out in the open like this.
Could this person be... an idiot? She is, isn't she?",,
89,Rika (高校生),"あの……私、見なかったことにしますから。
早く保健室に行くか部屋に戻って、体調不良で
休んでいたと先生に報告したほうがいいですよ。",Um... I'll pretend I didn't see anything. I think it's best if you rush to the infirmary or to your room and leave a report with the teachers that you were absent due to sickness.,,
93,？？？？,"おや……私を心配してくれるのですか。
あなたは優しい方ですね。何年生ですか？",Dear me... you're worrying for my sake? What a kind person. What grade are you in?,,
96,Rika (高校生),……１年です。,...I'm a first year.,,
98,,"まるで危機感のない頓珍漢な返答に、
思わず私は「声かけるんじゃなかった」と後悔する。","Her answer felt strangely like she believed she wasn't even in a crisis, so with a hint of regret, I thought, ""I shouldn't have talked to her"".",,
99,,"どう見てもどう考えても、彼女は不良か問題児だ。
下手に関わると、私まで同類に思われかねない……！","No matter how you look at it, she's either a delinquent or a problem child. If I get too close to her, they might even think I'm the same as her...!",editz,
102,Rika (高校生),"（冗談じゃないわ……！
こんなことで内申点が下げられでもしたら、
沙都子に勉強を教える時間まで取り上げられる……！）","(No way...! If they lower my grades for this, I'll lose study time with Satoko...!)",,
104,,"そう考えた私は、作り笑いを浮かべてから
頭を下げ、すぐさま踵を返しかける。……と、","I let out a forced laugh with these thoughts in mind, lowering my head and immediately turning on my heel... when...",turn on my heel. https://idioms.thefreedictionary.com/turn+on+heel,
107,？？？？,"あ、逃げなくても大丈夫ですよ。
私は今日、ここにいないことになっているんです。","Ah, there's no need to run away. I'm not supposed to be here today.",,
110,Rika (高校生),は……？,Huh...?,,
114,？？？？,"私、今日の夕方まで
学園にいないことになっているんです。",I'm not supposed to be present at the academy until this evening.,,
117,？？？？,"学園にいない人間が授業にいないのは、
当然の事実……でしょう？",It's a clear fact that someone who isn't at the academy isn't supposed to be in class... right?,,
120,Rika (高校生),……どう言うことですか？,...What do you mean?,,
124,？？？？,"進学塾の集中講義に出ているんですよ。
……まぁ今日は、わけあって別の方に
出席をしてもらっていますが。","I'm attending an intensive course at a cram school.
...Well, due to several reasons, someone else went in my place today.",,
127,？？？？,"まぁことが露見しても、明日参加予定の
実力テストでそれなりの点数を叩き出せば……
とりあえず黙認になるでしょうしね。","But well, even if they do find out, as long as I get a reasonable score on tomorrow's competency test... I suppose they'll let it pass.",,
130,Rika (高校生),"いい点さえちゃんと取れば、
何をやっても構わない……と？","You're telling me as long as you get good grades, they won't care about anything you do...?",editz,
134,？？？？,"はい。私を追い出すと、学園の上位平均点が
大きく落ち込む……ということです。
つくづく良い成績は取っておくものですね。","Yes. If they drop me out, this school's average top score will lower...
So, they carefully hold onto those with good grades.",editz,
137,Rika (高校生),…………。,…………,,
139,,"嫌味か？　それとも悪意のない天然か？
どちらにしても正直、虫唾が走る思いなんだけど。","Is she being sarcastic? Or is she just a natural airhead with no malicious intent? Whatever it is, she sure gives me the creeps.",editz,
142,？？？？,ところで、古手梨花さん。,"By the way, Rika Furude-san.",,
147,Rika (高校生),は、はいっ？！,Y-Yes?!,,
149,,"いきなり名前を呼ばれて、つい背筋が伸びる。
というか私、この人に名前を教えた覚えは
ないんだけど……？","I inadvertently realigned my posture in response to her saying my name. And wait, I don't even remember mentioning my name to this person...?",editz,
152,？？？？,"この前の中間で、
学年１位を取ったそうですね。
おめでとうございます。",It seems you landed the highest score on your midterm. Congratulations.,editz,
155,？？？？,よかったら、少し話をしていきませんか？,"If you'd be up to it, could we have a little talk?",,
158,Rika (高校生),けっ……結構です！,I... I refuse!,,
161,,"私はそう言い捨てると、今度こそ逃げるように
その場を足早に立ち去った……。","After spitting that out, this time I made sure to run away from her as quickly as I could...",editz,
170,Rika (高校生クリスマス),"……と、まぁこんな感じだったわね。
だから私にとっての生徒会長の第一印象は、
「嫌なやつ」以外の何者でもなかったの。","...And that's how it went. Because of that, my first impression of her was ""I don't like her"", and that's all there is to it.",,
173,Satoko (高校生クリスマス),"をーっほっほっほっ！
いかにも生徒会長らしいですわね！",Ohohoho! That's just like the president!,,
175,Rika (高校生クリスマス),"もう、笑わないでよ。
あの時、すっごく怖かったんだから。","Ugh, don't laugh. I was really scared back then.",,
177,Satoko (高校生クリスマス),……？　どこに怖がる要素がありますの？,...? But what about her scares you?,,
179,Rika (高校生クリスマス),"怖い要素だらけじゃない。
こっちは向こうを知らないのに、
向こうは一方的にこっちを知っているのよ？","So many things about her are scary. I don't know anything about that person, but she oddly knows way too much about us.",,
181,Rika (高校生クリスマス),"そもそも学年順位の情報なんて、
どこで手に入れたのかしら……あの人は。",Where did that person even get information on this year's grade list in the first place...?,editz,
