event01_16_00.bytes,chara,jp,en,Notes TL,Notes QC
34,Hanyuu (巫女),"……夢。
皆さんはこれまでに、いろんな夢を見る機会が
あったと思います。","...Dreams.
I believe that everyone has had the chance to experience all sorts of dreams up until this point.",,
36,Hanyuu (巫女),"たとえばそれは、友達と過ごす楽しい夢。
漫画やアニメのキャラクターたちが登場する、
いつもと違う夢……。","For example, a happy dream where you spend time with a friend.
Or an unusual dream where manga and anime characters appear...",,
38,Hanyuu (巫女),"あるいは……悲しくて辛い、
泣いて叫びたくなるような「悪夢」――。","Or perhaps... a sad one where you cry and scream — what we call ""Nightmares"".",,
40,Hanyuu (巫女),"とはいえ、夢は目覚めたらそこでおしまい。
そこで手に入れた物や財産、仲間、記憶……
全てが「なかった」ことになります。","Once you wake up, however, it all ends. The riches and objects you obtained, your friends, your memories... it all becomes ""naught"".",,
42,Hanyuu (巫女),"だからがっかりもするし、夢でよかったと
胸をなでおろすこともできる。
そして記憶から消し去り、現実に戻っていく……。","You can feel disappointed that it's over, or you can assure to yourself that it was all just a dream. And then afterwards, it dissipates from your memory, and you return to reality...","from ""You might be disappointed, or feel relieved that it was just a dream. And then you erase it from memory and return to reality...",
49,Hanyuu (巫女),"ですが……皆さん。
夢の内容を本当に「なかった」ことにして、
忘れてしまってもいいのでしょうか？","But... to everyone listening;
Are you really okay with pretending the events within your dreams mean ""nothing"", and allowing yourself to forget them?","from ""But...everyone. Are you really okay with pretending the contents of those dreams are nothing and forget about them?",
51,Hanyuu (巫女),"ひょっとしたら、夢で見た「世界」は
あなた自身がそこに間違いなく存在したという、
もうひとつの「現実」であったのかも……？","Perhaps the ""World"" you saw in your dream was another reality that you could have sworn you lived through...?","from  ""Perhaps the world you saw in your dream was another reality that you yourself definitely existed in...?",
53,Hanyuu (巫女),"今回のお話は、そんな不思議な体験を
記録したものになります――。",Our story this time will go down in history as one such marvellous experience―,"from ""This story is a record of one such wonderful experience, and I'm sure it's a good one...",
59,,"……それは、ある日のこと。
少し気怠さを感じながら目を覚ました私は、
視界いっぱいに映し出された光景を見て――。","...It just happened that day.
I woke up feeling a little listless. As I opened my eyes, I fully took in the scene in front of me...","from ""...At that time, on a certain day. I woke up feeeling a little listless, and saw a sight that engulfed my field of view...""",
67,Kazuho (Casual),え……えぇっ……？！,Wh-...wha-...?!,,
72,,"思わず大声を上げながら、跳ねるような勢いで
起き上がり……愕然とその場に固まった。",I yelled out reflexively and sprang up with a jolt... I was astonished at the scene before me.,"from ""I unconsciously let out a scream and stood up...I was astonished at the scene before me.""",
75,Kazuho (Casual),な……なんなの、これっ……？！,Wh-...what is this...?!,,
77,,周囲を見回し、私はさらにパニックに陥る。,I look at my surroundings and fall into a panic.,,
78,,"四方にそびえたつ、金属製らしき壁と窓。
室内は冷たい明りに照らされて明るく、
謎の電子音がどこからともなく耳に届いてくる。","Metallic walls and windows tower over me in every direction.
The room was illuminated by a cold light, and mysterious electronic noises were coming from who knows where.","from ""Metallic walls and windows towered over me in every direction. A light coldly shone down from above. Then I heard a strange electronic sound come out of nowhere."" ",
79,,"まるで、ＳＦ映画に出てくるような構造だ。
少なくとも、私はこれほど「未来的」な室内を
現実の世界で見たことがない。それに――。","The framework looks like it came straight out of a sci-fi movie.
At the very least, I've never seen such a ""futuristic"" interior of something in the real world. But—",,
82,Kazuho (Casual),っ、あ……あぁ……っ？,A-...ahh...?,,
85,,"大きな窓から見えるのは、果てしなく広がる
漆黒の空間と……青と白に彩られた半球状の物体。","Out from a giant window, I was able to see a vast black void spreading on forever, as well as... the face of a blue and white-colored spherical object.","from ""I looked out a giant window, I saw within a black space spreading out forever...a blue and white-colored globe.""",
86,,"実際に、この目で見るのは初めてだったけれど……
テレビやいろんな媒体でよく取り上げられている
「あの」光景そのものだった。",It was truly my first time seeing this sight with my own two eyes... although {i}that{/i} sort of scene was often featured on TV and all kinds of media.,"from ""It was the first time seeing this sight with my own two eyes...this scene was often featured on TV and all sorts of media.""",
89,Kazuho (Casual),"あれって……地球っ？
じゃあここは、宇宙ってこと……？！","Is that... the Earth?
So that means... I'm in space...?!",,
92,,"……わけがわからない。
なぜ宇宙に来ることになってしまったのか、
理由どころか心当たりすらさっぱりだ。","...I don't understand at all.
I have no idea how I'm here in space, or for what reason.",,
93,Kazuho (Casual),"（と……とにかく、寝る前のことを
思い出してみよう……）","(A-...at any rate, let's see if I can remember what I did before going to bed...)","from ""(A-At any rate, I must remember what I did before going to bed...)""",
94,,私は意識を振り絞って、頭の中の記憶をたどる。,I sift through my memory as hard as my head can manage.,,
95,,"眠ったのは、いつもの寝床……じゃない。
芝生の柔らかさを背中に感じながら星空を見上げ、
とろとろと微睡んで……そして……。","I went to sleep in my bed... no, wrong. I was feeling the tender grass on my back while gazing up at the stars, then I dozed off... and...","from ""I went to sleep in my usual bed...no. I felt the tender grass at by back while gazing up at the stars, and dozed off. And then...""",
96,Kazuho (Casual),"（そうだ……。
確か昨夜は、外で寝たんだ……）",(Yes... I'm certain that I fell asleep outside last night...),,
100,,"きっかけは、夕方頃にかかってきた
魅音さんからの電話だった。","My tipoff was that, around noon, I got a phone call from Mion-san.",,
101,Mion (Casual),"『今日の夜は、流星群が見えるんだってさ。
天気もいいし、古手神社の高台に集まって
みんなで天体観測ってのはどう？』","""There's gonna be a meteor shower tonight. The weather's looking good too, so why don't we all go to the Furude Shrine's lookout and do some stargazing?""",,
104,,"そんな魅音さんからの誘いに応じて、
私は美雪ちゃんや菜央ちゃんと一緒に
古手神社を訪れて……。","In response to Mion-san's invitation, I went with Miyuki-chan and Nao-chan to the Furude Shrine...",,
