event01_16_01.bytes,chara,jp,en,Notes TL,Notes QC
34,Kazuho (Casual),"つまり、私たちは１０００年も昔に死んで……
もう一度生き返った、ってこと……？",So you're saying we died a thousand years ago... and came back to life...?,,
36,,"その、あまりにも荒唐無稽な内容は
笑うにしても質が悪く聞こえ……かといって
真面目に受け取るには、理解を超えている。",That premise sounded so cliché and absurd that it made me want to laugh... so taking it seriously was beyond reasoning.,"comment / from ""That premise sounded so cliche and absurd that it made me want to laugh...and taking it seriously was out of the question.""",
37,,"ただ、前原くんや梨花ちゃん（？）の表情に
飄々とした余裕こそ感じられるものの……
冗談を言っているような気配はない。","However, amidst the detached and composed nature of Maebara-kun and Rika-chan's (?) expressions... I couldn't detect any sense of them intending to joke around.","from ""However, even though I could feel the aloofness and carefreeness in Maebara-kun and Rika-chan's(?) expressions...it didn't seem like they were joking.""",
38,,"ということは、やっぱり……
彼らの言うことは……事実……？！",So then... maybe they really... are telling the truth...?!,,
41,Nao (Casual),"じょ……冗談はやめてよ！
死んだとか、生き返ったとかいきなり言われて、
素直にそうと信じられるわけないでしょ？！",Qu-...quit the jokes! Did you really think I'd believe it if you suddenly told me I died and came back?!,,
44,Rena (Casual),な、菜央ちゃん……。,N-Nao-chan...,,
47,,"わなわなと震える菜央ちゃんの小さな身体を、
レナさんがぎゅっ、と背後から抱きしめる。","Nao-chan's small body was trembling and quivering in fear, so {i}squeeze{/i}, Rena-san hugged her from behind.",,
48,,"感情をあらわに言い返すことができるだけ、
菜央ちゃんはむしろすごいと思う。
……私なんて、呆然として声も出てこないのに。","I think it's amazing that Nao-chan was able to respond with her true feelings like that. ...Meanwhile, I was too stunned to speak.",,
52,圭一 (アンドロイド),"あー……お前らの気持ちも理解はできるが、
これは信じるとか、信じないとかじゃねぇ。
あくまでも事実で、本当のことだ。","Ah... I understand what you guys are feeling, but this isn't a matter of believing or not. Every last detail really is the truth.",,
55,Nao (Casual),……なっ……？！,...Wha-...?!,,
60,Rika (アンドロイド),"みー。旧人類のＤＮＡから今回蘇生を試みたのは、
およそ２０００ケース。
そのうちで成功したのが、６体……。","Meep. There were approximately two-thousand cases in which the DNA of the former living species was put to trial in attempt to resurrect humans into the present. Of those cases, only six were successful....","from ""Meep. About two-thousand cases were attempted to revive the DNA of the old humanity. Of those, only six were successful....""",
63,Rika (アンドロイド),つまり、あなたたち６人だけなのですよ。,"That is to say, you six.",,
67,詩音 (Casual),"２０００……って、つまり#p雛見沢#sひなみざわ#rにいた人たちが
全員、その大災害で死んだってことですか……？","Two-thousand... wait a minute, you mean every person in Hinamizawa died in that great disaster?",,
72,圭一 (アンドロイド),"……いや、お前らのところだけじゃねぇ。
当時の地球に存在してたほとんどの人間が、
大災害で死に絶えたといってもいいだろう。","...No, not just you guys. It's likely safe to say most of humanity went extinct during that great disaster on Earth back then.",,
75,圭一 (アンドロイド),"そして俺たちは、そんな中でも辛うじて
生き残った人々の#p末裔#sまつえい#rってことになる。",And we're the descendants of those who narrowly escaped.,,
78,圭一 (アンドロイド),"だから、お前らがいう『前原圭一』……だったか？
そいつとは赤の他人ってわけだ。
まぁその前提を理解した上で、よろしく頼むぜ。","By the way, you all said ""Keiichi Maebara"" just now... right?
He's a complete stranger to us. I'm counting on you to understand.",,
83,Kazuho (Casual),……っ……！,...ack...!,,
86,,"その残酷な事実に、頭を激しく殴られたような
衝撃を覚えて……思わず気絶しそうになる。",That cruel truth hits me like a sharp blow to the head... and I start feeling faint.,,
87,,"何かの冗談だと、思いたかった。
悪い夢だと言ってもらえたら、
どれだけ気持ちが楽になっただろう……。","I wanted to believe it was some kind of a joke.
I'd probably feel much better if I was told it was all a bad dream...",,
90,Miyuki (Casual),"確かに……キミは、前原くんじゃなさそうだね。
どんな理由があっても彼は、
女性に暴力を振るう人じゃなかったからさ。","You... definitely can't be Maebara-kun.
He would never treat women violently, no matter the reason.",,
92,Miyuki (Casual),"とりあえず、私は信じるよ。
ただ……前原くんと違ってキミのことは、
正直好きになれそうにないけど。","I'll believe you for now. But... unlike Maebara-kun, you seem like someone I'll come to dislike, honestly.",,
96,圭一 (アンドロイド),"へっ、そんなふうに言われると
ちょっと寂しい感じだが……まぁ好きにしろよ。","Heh, when you put it like that, it makes me feel a little lonely... well, do as you like.",,
99,圭一 (アンドロイド),"ちなみにレディ・ミー、その『前原圭一』の
残骸とかは発見できたか？","By the way, Lady Meep, did you find any trace of this ""Keiichi Maebara""?",,
104,Rika (アンドロイド),"みー。一応その人物と思われるＤＮＡは
発見できたのですが、損傷が激しくて……。","Meep. I seem to have discovered that person's DNA; however, it is much too damaged.",,
108,Rena (Casual),そんな、圭一くん……っ……。,"Keiichi-kun, no...",,
112,Satoko (Casual),"あの、それでは梨花……『古手梨花』も
無理だったということですの？","So then, was it also impossible to revive Rika, um... ""Rika Furude""?","comment / from ""Ah, then Rika...is it also impossible to revive Rika Furude?""",
117,圭一 (アンドロイド),"ん……古手梨花？
そいつの名前は、リストに載ってねぇが……。","Mm... ""Rika Furude""?
That name wasn't on the list...",,
120,圭一 (アンドロイド),"ここに存在しないってことは、
そういう認識で間違いはねぇだろうな。",And the fact of whether or not we have a specimen here isn't something we would mistake.,"comment / from ""They don't seem to exist, and there weren't any mistakes to the best of my knowledge.""",
125,Rika (アンドロイド),"みー。何千ものＤＮＡを採取しましたが、
７割以上は身元が不明……残ったものも
ほとんどが蘇生できなかったのです。","Meep. Thousands of DNA samples were collected, but around 70% of them were unidentifiable... and most of what remained could not be resurrected.",,
128,Rika (アンドロイド),"むしろ、１０００年も経っていながら
６体も蘇生できたことこそ、奇跡的な幸運だと
喜んでもらいたいくらいなのですよ。","Nonetheless, being able to revive six people after one-thousand years have passed is such a miraculous feat that it makes me want to rejoice.","comment / from ""I believe it is a great honor to have miraculous luck and revive 6 of them after 1000 years.""",
131,,"そう言って梨花ちゃん――レディ・ミーは、
誇らしげに胸を張ってみせる。","Rika-chan — I mean, ""Lady Meep"" — says that while proudly sticking out her chest.","from ""Rika-chan—I mean, Lady Meep—said that so proudly.""",
