event01_16_99.bytes,chara,jp,en,Notes TL,Notes QC
39,Hanyuu (巫女),"さあ、特Ａ級犯罪人ケーイチ！
おとなしく武器を捨てて、投降するのですよ！","Class-A Criminal K-1!
Peacefully lay your weapons down and surrender now!",,
43,圭一 (アンドロイド),"く……くそっ、捕まってたまるかってんだ！
おいレディ・ミー、早くあいつを何とかしろ！","D-...dammit, I'm not getting caught now!
Oy, Lady Meep, do something about her, quickly!",,
48,Rika (アンドロイド),"みー。ごめんなさいなのです、
損傷レベルが大きすぎて、
リカバリ機能が作動しないのです……。",Meep. I am very SORRY. Damage LEVELS exceeding functionable THRESHOLD; RECOVERY function REBOOT FAILED...,added flavur,
51,Rika (アンドロイド),"オペレーティングシステム、
シャットダウンなのです……
おやすみなさいなのですよ……がくっ。","OPERATING SYSTEM, SHUTTING DOWN...
GOOD... NIGHT... *gachunk*.",,
57,圭一 (アンドロイド),"お、おい、お前は俺を守るための
アンドロイドだろうが！
くそ、目を覚ませってんだ！","H-Hey, you're the android that's supposed to protect me!
Wake up, dammit!",,
60,Hanyuu (巫女),"これでもう、あなたは丸裸同然なのです……。
年貢の納め時なのですよ！","Now you're as good as naked...
Time to face the consequences!",,
63,圭一 (アンドロイド),ちっ、こうなったら……！,"Tch, looks like I have no choice...!",,
66,,"もはや進退窮まったと悟ったのか……
ケーイチは銃を構えると、羽入ちゃんに向けて
狙いを定める。",Realizing that he's backed into a corner... K-1 readies his gun and aims it at Hanyuu-chan.,,
67,,"その目はぎらり、と凶気の輝きが宿り……
殺意に満ちたその眼光に、私はぞっと怖気が
こみ上げてくるのを感じた。","His eyes glinted with malice...
That murderous intent reflected in his gaze caused fear to well up within me.","comment / from ""I could see that his eyes shined with malice...That murderous intent reflected in his eyes caused dread to well up within me.""",
70,Kazuho (Casual),"羽入ちゃん……気をつけて！
あの人、本気で撃つつもりだよッ！","Hanyuu-chan... be careful!
That guy really plans on shooting you!",,
73,Hanyuu (巫女),"……はい？
あの、どうしてあなたは僕の名前を……？",...Huh? How do you know my name...?,,
82,圭一 (アンドロイド),おらあっ！,Oraah!,,
89,,"不思議そうに羽入ちゃんがこちらへ振り返ろうとした
その時、ケーイチの持つ銃が轟音を立てて
青白い電光がこちらに向かって放たれる。","When Hanyuu-chan curiously turns her head towards me, K-1's gun roars to life, and a pale light shoots towards us.",,
90,,"……が、それを見た彼女は無造作に剣を一閃して
断ち切り、一瞬で距離を詰めてケーイチの喉笛に
剣先をあてがってみせた。","...However, she noticed it and effortlessly sliced it apart with a single strike of her sword, then quickly closed the distance between her and K-1, and aimed the tip of her sword at his throat.",,
96,圭一 (アンドロイド),な、なっ……？！,Wh-wha...?!,,
98,Hanyuu (巫女),"……発砲しましたね。
ならば、こちらも容赦はしないのですッ！！","...Fired your gun, did you?
I won't spare you any mercy either then!",,
103,圭一 (アンドロイド),ぐはっ……？！,Gagh..?!,,
108,,"剣の柄でみぞおちを殴打され、ケーイチは
苦悶の声とともにその場へ崩れ落ち……
そのまま動かなくなってしまった。","Struck in the stomach with the hilt of her sword, K-1 collapsed to the ground with a cry of anguish... and remained motionless.",,
112,Hanyuu (巫女),"……命は奪わないのです。法の裁きを受けて、
しっかり罪を償ってくださいなのですよ。","...I will not take your life.
In turn, please accept the verdict of the law and atone for your crimes.",,
116,Kazuho (Casual),…………。,............,,
120,Hanyuu (巫女),"ご無事でしたか？
あなたひとりだけでも、助けられてよかった……。","Are you okay?
I'm glad I could rescue someone, even if it was just one person...",,
123,Kazuho (Casual),"う……うん。ありがとう、羽入ちゃん。
間一髪のタイミングだったよ……。","Y-...yeah. Thank you, Hanyuu-chan. You saved me by a hair's breadth.",,
125,Kazuho (Casual),"あ……でも、ごめんなさい。
あなたは、私の知ってる羽入ちゃんとは
別人なんです……よね？","Ah... but I'm also sorry.
You aren't the same Hanyuu-chan that I'm familiar with... are you?",,
127,Hanyuu (巫女),"……。仔細については、これからの事情聴取で
明らかにさせてもらうことになるでしょう。
ただ……。","...I will clarify some of those details for you very soon.
That said...",shortened,
129,Hanyuu (巫女),"あなたのことは、今回の捜査データでのみ
把握しております。
……会って話すのは、初めてです。",We only know about you through the data from this recent investigation. ...I believe this is the first time we've met face to face.,"comment / from ""We only know about you through the data from this investigation...I believe this is the first time we've met.""",
131,Kazuho (Casual),……っ……。,............,,
133,Hanyuu (巫女),"とりあえず、お話を聞かせてもらえますか？
経緯についてはある程度把握しておりますが、
あなたからも直接状況をお伺いできれば――。","In the meantime, do you mind informing me of what happened?
I have some knowledge of your circumstances, but I would like to hear about it directly from you, if at all possible...",,
135,Kazuho (Casual),っ、そ、その前に……っ……！,"Um, b-before that... uh...!",,
138,,"これだけは、聞いておかなければいけない。
そう思って私は、気持ちを奮い立たせると
羽入ちゃんに向き直っていった。","There was only one thing I wanted to ask. With that in mind, I felt encouraged enough to turn towards Hanyuu-chan.",,
141,Kazuho (Casual),"ケーイチと、レディ・ミーが言ってたけど……
１０００年前に地球が……私たちの世界が
ウィルスで滅んだってのは、本当のことなの？","About what K-1 and Lady Meep told me... 
Was our world really destroyed by a virus a thousand years ago?",,
144,Hanyuu (巫女),…………。,............,,
153,Hanyuu (巫女),"本当です。
あと、この空間は一時的に復元したものなので……
残り１０時間ほどで、跡形もなく消え去るでしょう。","It was.
Also, since this space is just a temporary construct... it will disappear in ten hours without a trace.",,
158,Kazuho (Casual),……っ……。,...nnh...,,
163,,"感情を押し殺すように、淡々とした口調で
告げられたその内容に……私はがっくりと肩を落とす。","She delivers that message in an indifferent tone, as if stepping all over my emotions... I was so heartbroken from it that my shoulders sink.",,
164,,"……正直言って、否定してほしかった。
ケーイチたちが話していた内容が全部嘘だと、
彼女に断言してもらいたかった。","...Honestly, I wanted to deny it.
I wanted her to reassure me that everything K-1's group said was a lie.",,
165,,"だけど……これで、確定だ。
もはや私は、今のこの状況を事実として
受け止めるしかなかった……。","But... that was the truth.
I had no choice but to accept my current situation...",,
168,Hanyuu (巫女),"……。事情聴取を行います。
あと……あの方々にも、「手当て」を……。","...Allow me to conduct an inquiry.
So... as for the ""medical treatment"" for those people...","comment / from ""...We'll perform an investigation. Also...we'll get treatment for those people..."" ",
