event01_16_03.bytes,chara,jp,en,Notes TL,Notes QC
32,,"……私たちが古手神社へと続く石段の下に
到着した時、日は徐々に暮れはじめて
辺り一面が夕方の朱に染まりつつあった。","...When we arrived at the foot of the stone steps leading up to the Furude Shrine, the sun was already starting to set, and the area around us was becoming dyed with a warm shade of vermillion.",,
38,Mion (Casual),"おー、ここもちゃんと元通りって感じだねぇ。
みんな、ちゃんとついてきてるかい？","Woah, this place looks just like how it was before too, huh?
Everyone, you all still behind me?","comment / from ""Oh, looks like things are set to the way they were. Can everyone follow me?""",
44,Kazuho (Casual),う、うん……！,Y-Yeah...!,,
47,,"明るい表情で振り返る魅音さんに、
私はできる限りの元気を込めて頷き返す。","I nod back with as much spirit as I could muster to Mion-san, who turned back to us with a bright expression.",,
48,,"そして、いち早く駆け上がる彼女に従って
石段を登り……。",And so we followed behind as she quickly ran up the stairs...,,
52,,"すっかりおなじみとなった鳥居をくぐって、
本殿が見える境内へと足を踏み入れた。","We walked under the incredibly familiar torii gate and stepped out onto the grounds, where the main shrine could be seen.","comment / from ""We stepped under the all-too-familiar torii gate and onto the grounds, where the main shrine could be seen.""",
58,詩音 (Casual),"……へー、本殿まで元のままとは。
こういう細部までこだわってみせるのは、
大した技術力といったところですか。","...Wow, they surprisingly made the shrine look like the original.
This level of attention to detail is a huge technological feat, isn't it?",,
61,Miyuki (Casual),"いやー、私はむしろ悪趣味に感じるよ。
こだわるポイントを間違えてるというかさぁ。","Nah, I actually think it's pretty bad taste. It's like they focused on the wrong details or something.","from ""Nah, I think it's pretty bad taste. Maybe I'm just focusing on the wrong details.""",
63,詩音 (Casual),"くすくす……確かに。
お姉のような空気の読めなさがありますねー。","*giggle*... for sure.
They have a hard time reading the room just like Sis does, huh?","comment / from ""Hehe...maybe. You've got the same inability to read the room like Sis, huh?""",
67,Mion (Casual),"……おいこら、詩音。どさくさに紛れて
私の悪口言ってんじゃないよ、ったく……。","...Alright, alright, Shion. I'm not gonna let you take advantage of the situation to badmouth me. Seriously...",,
71,,"なんて話をしながら私たちは、
本殿の前を通り過ぎて砂利の地面を横切り、
芝生が広がる境内の奥を目指して進む。","While conversing like this, we passed the front of the main shrine and through the gravel patch, continuing towards the grassy area spread out around the back of the grounds.","comment / from ""While conversing like this, we passed the front of the main shrine and onto a gravel area, then towards the lawn spread out around the back of the grounds.""",
72,,"そしてほどなく、#p雛見沢#sひなみざわ#rの全域を
はるかに見下ろす高台へとたどり着いた。","And shortly thereafter, we finally arrived at the lookout, where we could see all of Hinamizawa.",,
81,Satoko (Casual),"ふわぁ……！　ここから見渡す景色は、
やはり気持ちいいものですわね……！","Uwaa...! Looking down on Hinamizawa's scenery from up here really feels nice, doesn't it...?",,
84,Rena (Casual),"あははは、そうだねー。
夕方の風が涼しくて、天気もいいし……
絶好の天体観測日和だよ～、はぅ♪","Ahahaha, you're right. The refreshing evening breeze, the good weather... these really are ideal conditions for stargazing~, hauu♪",,
