chara062016_01.bytes,chara,jp,en,Notes TL,Notes QC
26,Satoko (高校生),"はぁ……なんとか今回の実力テストも、
ギリギリとはいえ落第点を免れることが
できましたわ……。",*sigh*... I somehow just {i}barely{/i} managed to escape from getting a failing grade on that proficiency test...,,
28,Satoko (高校生),"ただ、油断は禁物ですわね。
最近は学年主任が、全体の平均点を上げようと
ずいぶん躍起になっているとの噂ですし。",But I mustn't be too careless. There's been a rumor going around lately that the head teacher is becoming terribly desperate in getting the school's average gradepoint to rise.,,
30,Satoko (高校生),"安全圏に入るためには、あと５点……
いえ、１０点ほどさらに底上げする必要が
ありそうですわね……。","To get into the safety zone, it seems I'll need to tack about 5 points... no, 10 points more onto my average.",,
32,Satoko (高校生),…………。,............,,
34,Satoko (高校生),"梨花がつきっきりで勉強を見てくれているから、
なんとか頑張ってきましたけど……
正直言っていい加減、疲れてきましたわ。","I've somehow been able to brute force my way this far thanks to me sticking to Rika and having her watch over me while I study... but to be honest, I've become quite exhausted.",,
35,Satoko (高校生),"まるで、ゴールのないマラソンのようですわね。
私は、いつまで頑張ればいいんですの？","It's almost like a marathon with no goal.
How long am I supposed to keep doing my best?",edited ,
37,Satoko (高校生),"いえ、そもそも……
頑張っても、意味があるんですの？",No... is there even any meaning in doing my best to begin with?,order change,
39,Satoko (高校生),"これ以上頑張っても、梨花に
迷惑をかけるだけだったら……私は……。",If I'll just be imposing a burden on Rika by continuing to try hard... then I'll...,editz,
46,Satoko (高校生),……あら？,...Oh my?,,
48,Satoko (高校生),"今、林の中に誰かが
入っていくのが見えたような……？",Had I just seen someone going into the woods...?,,
50,Satoko (高校生),"あの奥は行き止まりで、
何もないと聞いておりましたが……。","I've heard that there's nothing in there but a dead end, though...",,
52,Satoko (高校生),"気になりますわね……
ひょっとしたら、学園への侵入者？","Now I'm interested... 
Could it be an intruder has gotten into the academy?",,
54,Satoko (高校生),"他の方々はともかく、
万が一梨花に危害が及ぶようなことがあれば
目も当てられませんわ。……よし。","Other people here aside, I simply cannot overlook anything looming by that may cause any harm to Rika. ...Alright.",,
63,Satoko (高校生),"……？　確かに、この辺りに入って行った
はずですけど、誰もいませんわね……。","...?
This should be the spot I saw them go in, but I don't see anyone...",,
65,Satoko (高校生),"もしかして、私が見たのは幽霊……
なわけありませんわね。
あるいは疲れて、幻覚が見えたのかも……なっ？",Could what I have seen perhaps been a ghost...? Of course it wasn't. Maybe I was just tired and saw an illusion... Wha-?,,
68,Satoko (高校生),"この足元に張られたロープは……トラップ？
となると、仕掛けられた先には……。","This rope that was recently set up here... is it a trap?
And what's hooked up onto the tip of it is...",,
70,Satoko (高校生),"なるほど。鳴子があちこちにつけられて、
侵入者を知らせる仕組みになっているんですのね。",I see. There are noisemakers set up here and there to alert when there's an intruder afoot.,,
71,Satoko (高校生),"それに、この盛り上がった地面は……
やはり、落とし穴。深さはそこまでないようですし、
驚かせるのが目的というわけですわね。","And this ground that's swelled up a bit is... yep, it's a pitfall. It's not very deep, but its purpose is to frighten, I'm sure.",,
73,Satoko (高校生),"ただ、こんな仕掛けがあるというのは
進んだ先に何かがあるという明らかな証拠……
ふふっ、なんだかワクワクしてきましたわ。","But the existence of this trap alone is clear evidence of something... *chuckle*, how exhilarating this is getting.",,
81,Satoko (高校生),"あら？　こんなところにぽっかり空き地……？
真ん中には、レジャーシートが敷かれて
置かれているのは――……。","Oh my? There's this open patch of dirt...?
And in the center of it, there's a lawnchair set out that--",,
86,Satoko (高校生),"ふわぁぁあぁっっ？！
ひ、光った？！　何かが光りましたわぁ？！","Fwwaaaahhhhh?!
A light?! Something's shined over here?!",,
90,？？？？,ふむ……あなたは誰ですか？,Hmm... and who would you be?,,
93,Satoko (高校生),"頭上から、声……？！
だ、誰と聞かれましても……っていうより、
今の光はなんでしたの？","A voice from overhead...?! Wh-who could I have heard... well, more importantly, what was that light just now?",,
97,？？？？,"見ての通り、カメラのフラッシュです。
申し訳ありませんが、撮影させていただきました。","Just as you saw, it was a camera flash.
I do apologize, but I photographed you.",,
100,Satoko (高校生),"なっ？　い、いきなり断りもなく
写真を撮るなんて無礼の極みでしてよっ！","Wha-? Taking a picture suddenly without someone's permission is up on the peak of rudeness, you know?!",,
104,？？？？,"えぇ、その通り。……ですが、この場所のことを
誰かに話すことがないように口封じをしなければ
いけませんので、どうかご理解ください。","Yes, exactly. ...However, I had to make sure to have you silenced before you shared this with anyone. I do beg for your understanding.",,
107,Satoko (高校生),く、口封じ……？！,S-Silenced...?!,,
111,？？？？,"はい。もし誰かに今見たものを話すようなことが
あれば、この写真を教務課の先生に提出します。","Quite. Had you spoken of what you witnessed just now, I would present this photo to the teachers at the registrar's office.",,
114,？？？？,"すると、あら不思議。この場でこっそりお菓子を
食べたり、マンガを読んだりしていたのは
私ではなく、あなたということになってしまうのです。","Thereupon, oh dear, how strange; the person who had been secretly eating snacks and reading manga here won't actually be me, but you.",,
119,Satoko (高校生),んなっ？！,Huuuuh?!,,
123,？？？？,"そして潔白を訴えてもそれは聞き入れられず、
犯人だと先入観で決めつけた先生により
罰せられるのは、なぜかあなた。","And so, all appeals for innocence will go unheard, and the culprit that the teachers will punish since they were fixed upon their original preconceptions will, for some reason, be you.",,
126,？？？？,"私はそれを告発することで、無事に
逃げおおせることが可能になるというわけです。
……どうです、いい案でしょう？","And through this accusation, it would become possible for me to succeed in my escape. ...So, isn't that a nice plan?",,
129,Satoko (高校生),"っ……なかなか手の込んだ脅し文句ですわね。
いったい私に、何をお望みですの？","......What an intricate and threatening mode of speech.
What could you possibly want from me?",,
133,？？？？,"何も。約１年半ほどこの場所のことを
黙っていてくれれば、あなたに損害を
及ぼすことはしません。","Nothing. As long as you keep quiet about this place for the next year and a half or so, you will undergo no harm.",,
136,？？？？,"何かに誓ってもいいですよ。
この学園の流儀に従って礼拝堂の神、
とかでもよろしいですか？",I can swear on something if you like. Would you mind if I did it to the god in this academy's chapel?,,
139,Satoko (高校生),"こんな学園の神に誓われたところで、
何も信用できませんけど……わかりましたわ。
私もこんな形で反省室送りはまっぴらですし。","Even if you swore to this academy's god, I can't fully trust you... but understood. I also wish to avoid being sent off to the reflection room.",edited,
143,？？？？,"聞き届けてくれて、何よりです。
私も学園の生徒さんの人生を狂わせたくは
ありませんでしたから、助かりました。","How thoughtful of you to comply. I also don't wish to disturb the lives of my fellow students at the academy, so you spared me that pain.",,
146,Satoko (高校生),よく言いますわね……あてっ！,You're hysterical... Yyeoowch!!,,
152,Satoko (高校生),"うぅ、上から何かが落ちてきて……
って、これはなんですの？","Uuu, something fell from up there... wait, what is this?",,
156,？？？？,"共犯のしるしということで、おすそ分けです。
今月新発売のチョコ菓子、いかがですか？","A token of your complicity, and a portion of the profit.
How do you feel about a newly released chocolate candy as of this month?",,
159,Satoko (高校生),"……いただきますわ。
にしてもあなたは今、木の上におりますの？","...I'll take it. 
But still, aren't you up in that tree right now?",,
163,？？？？,はい、そうです。,"Yes, that's correct.",,
166,Satoko (高校生),降りてきませんの？,Are you going to come down?,,
170,？？？？,ここが落ち着くので。,I'm comfortable up here.,,
173,Satoko (高校生),"あ、そうですの……。
（……変わった人ですわね）","Ah, okay...
(...What a strange person.)",edited,
