chara062016_03.bytes,chara,jp,en,Notes TL,Notes QC
28,Satoko (高校生クリスマス),"……生徒会長に教えてもらいましたの。
理系の知識がトラップに応用できることと、
トラップの知識が理系の知識に応用できることを。","...The president taught me that you can use scientific knowledge on traps, and that knowledge on traps can be used in science.",editz,
30,Satoko (高校生クリスマス),"私……今まで、そんなことを考えたことが
ありませんでしたわ。トラップは遊びで、
勉強とは無関係だとばかり……。","I... had never thought about that until that point. Making traps was just a hobby for me, so I considered it unrelated to studies...",,
32,Rika (高校生クリスマス),"でも……確かに沙都子のトラップは、
全部物理学で説明できるものよ。
機械的な構造だし、心理学にも通じるしね。","But... your traps can definitely be explained through physics.
It has a mechanical structure, and it has connections to psychology too.",,
34,Satoko (高校生クリスマス),"えぇ……科学の定義は、再現性。
私が作るトラップに誰もがひっかかるなら、
それはもはや科学だ……そう言われましたわ。","Yes... the definition of science is reproducibility. If anyone gets caught by my traps, that's already the indication of science at work... is what I was told.",editz,
36,Satoko (高校生クリスマス),"それで私、話の流れで生徒会長に
直前に行われたテストを見せましたの。","And as our conversation flowed, I showed her the test I had just received back then.",,
37,Rika (高校生クリスマス),……なんて言われたの？,...What did she say?,,
39,Satoko (高校生クリスマス),"『君は基礎ができて、応用も知っている。
でも、基礎の使い方を理解していない……
使う部品や道具を間違えている感じだ』","She told me... ""You're aware of the basics and you're able to apply them. However, you don't have an understanding of those basics...
It's like you're using the wrong parts and tools.""",I put the she said up here,
41,Satoko (高校生クリスマス),"『それに、些細な見落としが原因で
バツを食らい続けたせいで、
応用の仕方がわからなくなっている』","""And because you continued to receive low grades due to this trivial oversight, you gradually lost sight of how to apply those basics.""",editz,
43,Satoko (高校生クリスマス),"『君の持ち味は、機転と思い切りの良さだね。
それを理解せずに慎重になりすぎるから、
かえって間違いが増えるんだよ』……と。","""What separates you from the rest is your quick wit and your skill in problem solving. Without being aware of that, you tend towards over-prudency, and this tacks onto your misconceptions instead.""",editz,
45,Satoko (高校生クリスマス),"……私自身が気づかなかったことを
ズバズバと言い当てられて、
まさに目からウロコが落ちるような思いでしたわ。","...Because she pointed out all these things I couldn't realize on my own one after another, it was almost like I was awakened to the truth.",editz,
47,Rika (高校生クリスマス),"確かに……自分の健康状態が
完璧に理解できるなら、医者は要らないのと
同じことよね。",For sure... it's the same as when you fully understand your own health condition and don't find a doctor necessary.,editz,
49,Satoko (高校生クリスマス),あらあら、監督が失業してしまいますわね。,"My my, Coach will end up unemployed like that.",,
51,Satoko (高校生クリスマス),"でも……物理を理論ではなく、
技術的に習得している。そんな私なら発想の転換で、
もっと上の点が取れると生徒会長に断言されまして。",But... the way I've been mastering physics isn't through theory; it's through hands-on experience. The president claimed that I would be able to get higher grades if I changed that approach.,editz,
53,Satoko (高校生クリスマス),"数学の問題は、もっと美しいトラップを
作り上げるための踏み台でしかない……。",Math problems are just another stepping stone to perfecting my traps...,,
55,Satoko (高校生クリスマス),"トラップが数学の上位互換だと
断言したのは、あの人が初めてでしたわ。",She was the first ever person to tell me that traps have an affinity with mathematics.,editz,
57,Rika (高校生クリスマス),"だから最近、数学の点数が
急に上がったのね……。",So that's why your grades in math went up lately...,,
59,Satoko (高校生クリスマス),"他の科目の強化は。これからですわ。
生徒会長には参考になりそうな書籍も、
色々と薦めていただきましたの。","Bettering myself in other subjects... I'll be doing that from now on. 
The president recommended me a bunch of helpful books.",,
61,Satoko (高校生クリスマス),"小難しい本なんて、眠くなるだけだと
思っておりましたが……トラップに使えると
思うと、なかなか楽しく読めますわね。","I thought difficult books would only make me sleepy... but when I think about how the knowledge in them can be applied to my traps too, I can actually have fun while reading them.",IIM SO HAPPY FOR HER I'm SIKC,
70,Rika (高校生クリスマス),……ごめんなさい。,...I'm sorry.,,
