chara062016_02.bytes,chara,jp,en,Notes TL,Notes QC
28,Satoko (高校生),"おいしい……。
こういうスーパーで売っているような
お菓子は久しぶりに食べましたわ。","Yum...
This takes me back to the candies that I would eat from the supermarket.",,
32,？？？？,"たまに食べると、おいしさも
ひとしおですよね……ですがあなた、
よく迷いもなく口にできましたね？","It's especially delicious when eaten on occasion... but you actually put that in your mouth with no hesitation, huh?","<- would change the first part to ""When you only eat it once in a while, it seems even more delicious, huh..."" (this change? i originally took tamani as taking bites every now and then aa)",
35,Satoko (高校生),あら、それが何か？,"My, what do you mean?",,
39,？？？？,"怖くないですか？　見知らぬ他人……
しかも自分を脅迫してきた人間から
渡されたお菓子なんて。","You aren't afraid? This candy is from an unfamiliar person... and on top of that, it's from the same person that just blackmailed you.","<- ""it's the same person that blackmailed you that handed you some candy"" maybe add an 'that' there? (oh oops i added an its there without realizing i had to change the rest of the sentence erhgkergj)",
42,Satoko (高校生),"お菓子は個別包装されていましたもの。
……それに、あなたに悪意がないことは
とっくにお見通しですわ。","The candy was wrapped individually.
...And besides, I've already realized you have no malicious intent.","<- ""The candy was individually wrapped.""",
46,？？？？,ほう……なぜ悪意がないと？,Hoh... and what makes you say I have no malicious intent?,,
49,Satoko (高校生),"もしあなたがその気なら、忠告なんてせず
黙って写真を先生に渡せば終わりですし……
その方が確実で、安全ですわ。","If you were that way, you would have just handed the photo over to the teachers without letting me know...
That would have been a much safer bet for you.","""I feel positive that I'm safe from that scenario"" - she's talking about the president and not herself, would change to -> ""That's a much safer and reliable way to go about it."" (this change?)",
51,Satoko (高校生),"なんせ私は、あなたの顔も確認できていません。
事実を訴えても、架空の存在に罪を
押しつけようとしていると思われるだけ。","Anyhow, I haven't been able to get a good look at your face. Even if the truth did surface, it would seem like I was trying to shift the blame onto a fictitious being.",would change to 'it would seem like I'm trying to shift the blame onto a fictitious being.',
53,Satoko (高校生),"私は即退学、ジ・エンド……真実は闇へ。
そうしないのは、その結末が不本意だからでしょう？","Then I'd instantly get expelled... and ""The End"", the truth fades into the darkness. So, I assume you not doing that would be because you're unwilling to have things end that way?",,
57,？？？？,"……驚いた。
今のやりとりで、そこまで見抜きましたか。",...Amazing. You dove that deeply into our exchange?,,
