chara482001_03.bytes,,,Lloro - QC/TL,Naegles- QC,
index,chara,jp,en,,
39,戦人,わははははは！！,Wahahahahaha!!!,,
41,圭一 (Casual),はははははは！！,Hahahahahaha!!!!,,
50,Hanyuu (Casual),"……それにしても、
あの２人は気が合うみたいなのですよ。","...Regardless, those two seem to be getting along.",,
52,朱志香,"戦人のヤツ、イキイキしやがって。
人数多いからテーブルを別れただけで、
女子と一緒にいるの忘れてんじゃねぇのか？","Battler sure is a lively guy. We had so many people with us that we had to sit at separate tables, but still, doesn't it seem like he forgot he came here with a bunch of girls?",,
57,？？？？,"お待たせしました、ご注文の品お持ちしました～。
ごゆっくりどうぞ～。","Your order is ready, sorry to keep you waiting. Enjoy~",,
60,朱志香,あ、ありがとうございます……。,Th-thank you very much...,,
62,朱志香,"……それにしても、本当にすげえ制服だな。
こういうの本当に流行ってるのか？
お客さんもたくさんいて、賑わってるし……。","...But yeah, that seriously is a sick uniform. Are things like that actually in fashion now? The place has a ton of customers, and it seems like it's doing well...",,
64,朱志香,"父さんがこういう感じの店に出資する、って
言い出したら、ちょっと考えちまうな。",I'd get kinda skeptical if my dad said he wanted to invest in a place like this.,,
69,詩音 (Casual),"そうでしょうねぇ……まぁ、ここをやっているのは
うちの親戚だったりするんですけど。","Is that so...? Well, one of my relatives runs this place.",,
72,朱志香,えっ？！　そ、そうだったのか？！,Eh?! R-Really?!,,
74,詩音 (Casual),あれ、さっき言いませんでしたか？,"Huh, didn't I mention that earlier?",,
76,朱志香,"ご、ごめん……ウェイトレスのインパクトに
圧倒されて、よく聞いてなかったぜ。","S-Sorry... that outfit hit me like a brick, so it went in one ear and out the other.",condensed with idiom,
80,Mion (Casual),"あぁ、大丈夫だよ。
それが当然の反応だと思うからさ。","Ah, no worries. I think that reaction's normal.",,
86,Rena (Casual),"はぅ～、でもかぁいい制服のファミレスが
増えるんだったら、レナは大歓迎かな？　かな？","Hau~, but maybe Rena wouldn't be opposed if a bunch more of these family restaurants with kyute uniforms sprang up, sprang up?",,
89,Nao (Casual),えぇ。あたしも、レナちゃんに同意見よ。,Yeah. I have the same opinion as Rena-chan.,,
93,Miyuki (Casual),"というか、キミがレナちゃんに異議を
唱えたことが一度でもあった？",When have you ever objected to Rena-chan's opinion?,well -> when,
95,Nao (Casual),"ないわ。あるわけないじゃない。
レナちゃんが白と言えば、たとえ黒でも
あたしは白と言い続ける覚悟よ。","Never. No way I would. If Rena-chan said something was white, and it was really black, I would also insist it was white. ",,
97,Miyuki (Casual),嫌な覚悟だなぁ……。,Such terrifying dedication...,,
102,Kazuho (Casual),あ、あははは……。,A-Ahahaha.,,
107,朱志香,"あ……でも確かに、飯は美味しいぜ。
盛りつけも凝ってて、見栄えがいい。","Ah... but wow, the food is delicious. The way they plated it is intricate too, making it even more attractive.","from ""Ah.....well, at any rate, the food is delicious. The arrangement of everything on the plate is quite elegant.",
109,Mion (Casual),"もちろん、ちゃんとご飯にも
力を入れているんだよ。
リピーター獲得には、味が必須だからね。","Of course; they put a ton of effort into preparing the food. Attractiveness is essential in getting repeat customers, y'know?",,
112,朱志香,"なるほど、制服だけの店じゃないんだな。
……うん、美味しい！","I see, so there's more to the restaurant than just the uniforms.
...Mmm, and the taste!",,
116,Hanyuu (Casual),"甘いものも、すっごくおいしいのですよ。
あとで食べるのです、あぅあぅ！","Their sweet food is really tasty too! We're gonna have some afterwards, au au!",,
120,Rika (Casual),みー、それは羽入が食べたいだけなのですよ。,Meep. Only Hanyuu wants to eat that stuff.,,
129,戦人,眼福だな……。,Now that's a precious sight...,,
131,圭一 (Casual),見てるだけで、こう……胸が満たされるな。,Just by looking at it... I feel my chest swelling up.,,
139,Miyuki (Casual),おぅ、男連中は制服だけで腹を満たしてるよ。,"Woah, so the guys can even get their fill of food just from the sight of the uniforms.",,
141,Mion (Casual),"……さすがにちょっと、度が過ぎるねぇ。
ここはひとつ、お灸をすえなきゃならないかな。","...They really are taking it way too far, huh? Wonder if we're gonna have to rake over the coals.",another proverb (kyuu wo sueru),
143,Mion (Casual),"詩音、「例のやつ」を準備。
……言わなくても、わかっているよね？","Shion, we're preparing ""that thing"". ...You know what I'm talking about, right?",,
147,詩音 (Casual),"えぇ、もちろん。
たっぷりと、この店の恐ろしさを
味わわせてやるとしますか……くっくっく！","Yes, of course. Shall we give them a taste of how terrifying this restaurant can really be...? *cackle*cackle*!","from ""I'll give them a taste of the terror this restaurant can offer.....*giggle*!",
153,Kazuho (Casual),"（み、魅音さんと詩音さん、
いったい何をやるつもりなの……？）",(W-What exactly are Mion-san and Shion-san planning.....?),,
162,Mion (Casual),"おっ……来た来た！
お待ちかねの、「例のやつ」だよ～！","Oh... it's here, it's here! Our long-awaited ""thing""~!",,
