chara072008_01.bytes,chara,jp,en,
27,Rika (高校生),"はぁ……どうしたものかしら。
こんなものを渡されても、正直困るんだけど……。","*sigh*... so I wonder what now?
Getting handed something like this is honestly more trouble than not...",
34,Satoko (高校生夏服),"あら……梨花ではありませんの。
こんなところで何をしておりまして？",My... if it isn't Rika. What could you be doing at a place like this?,
36,Rika (高校生),"沙都子……？　あの、もしよかったら
少し相談に乗ってもらいたいんだけど……いい？","Satoko...? Um, I might want some advice from you... is that okay?",from' you? right ((OH I MISSED THIS THANKS i edited it a few times
38,Satoko (高校生夏服),"……相談？　別に構いませんけど、
私に何かできることでもあるのかしら。",...Advice? That's no big deal at all; I'm sure I can help out somehow.,
40,Rika (高校生),"別に大したことじゃないわ。
ちょっと、あなたの意見を聞かせて
もらいたいと思ってね。","It's nothing particularly serious.
I just kind of thought I'd like to hear your opinion on it.",
42,Satoko (高校生夏服),"梨花の「大したことない」という言葉は
あまりあてになりませんけど……わかりましたわ。","I can't really trust an ""It's nothing serious"" when it's coming from you... but understood.",
44,Satoko (高校生夏服),それで、いったい何があったんですの？,So what could have happened?,
46,Rika (高校生),実は、さっき……ラブレターを渡されたのよ。,The truth is earlier... I was handed a love letter.,
48,Satoko (高校生夏服),"へぇ、それはそれは
おめでとうございまして……えっ？","Ooooh, my, my,
Congratulations to y-... huh?","she isn't that excited about it, 'Heeh, well then, congratulations to yo.... huh?'"
57,Satoko (高校生夏服),"梨花が、ラブレターぁぁっ？
それ、冗談ではなく本当のことですの？！","Rika, you got a looove letteeeeer?!
And it’s actually real and not a joke?!",ARENT ALL OF THE PEOPLE ON CAMPUS GIRLS TOO!??!/ AAAAA
65,Rika (高校生),"……何も、そこまで驚かなくてもいいでしょ。
私がそういうのをもらうのって、
そこまで意外なことだったりするの？","...You don't have to be that surprised.
Is it really that unexpected for me to get something like this?",
