chara072008_02.bytes,chara,jp,en,
34,Rika,みー……。,Meep...,
36,Satoko,ふんっ、だ。,Hmph!,
41,Mion,"……ねぇ、あの２人ってどしたの？
登校してきた時からずっとそっぽ向いちゃって、
すっごく機嫌悪そうにしているんだけど……。","...Hey, what happened with you two? You've been looking like you're in a super bad mood since you arrived, and you've been facing away from each other...",
44,Hanyuu,"あぅあぅ……悪そうじゃなくて、激悪なのです。
昨夜からずっと、あんな感じなのですよ。","Au au... it's not just super bad, it's super duper bad.
They've been like this since last night.",
48,Rena,"はぅ……いつも仲良しなのに、珍しいね。
何が原因であぁなっちゃったのかな、かな？","Hau... this is so unusual; they're always getting along. I wonder what the cause could have been, have been?",
50,Hanyuu,"え、えっと……昨夜は沙都子が料理当番だったので、
食材の買い物は梨花が行ってきたのですが……。","U-Um... last night, Satoko was on cooking duty, and Rika went out to shop for the ingredients, but...",
52,Hanyuu,"買ってきたお醤油の銘柄が、いつものものと
違っていたので……それで……。",The brand of soy sauce was different from the one she usually gets... and so...,
56,Miyuki,"はぁ……？　そんなことで喧嘩してるの？
醤油が違ってたことくらい、どうでもいいじゃん。","Huuuh...? They're fighting over something like that?
Who cares whether the soy sauce is different?",
65,Satoko,"よくはありませんわ！　いただいたものは別として、
自分で買うのはタニサのお醤油と決めておりますの！
あの味が肉じゃがにはぴったりなのでしてよ！",It's not good at all! What she brought was all wrong; the only soy sauce I'll buy is Tanisa and Tanisa alone! Its flavor fits perfectly with meat and potato stew!,ME BUT WITH GOYA HOT SAUCE?!?!?!$?34
69,Rika,"みー、でもたまにはツルイのお醤油もいいと思って
買ってきたのです。それなのに、沙都子が……。","Meep, but I bought the Anfeya soy sauce thinking it was good at times too. But Satoko still snapped with...",^^^^^^THIS 34 WAS ON ACCIDDNT I SWEEAR
71,Rika,"「梨花は味音痴だから違いがわからないんですわ」と、
すごくカチンとくることを言いやがったのですよ。","""Rika has no understanding of flavor, so she can't tell the difference"", incredibly agitated-like.",
78,Miyuki,"あー、それは沙都子が悪い。
好みなんて人それぞれなんだから、味音痴と
決めつけるのはマナー違反だよ。","Ah, so it's Satoko's fault. Everyone has their own tastes, so it's impolite for her to scold you for having no understanding of flavor.",
82,Satoko,"た、確かについ、軽口にしては意地の悪いことを
申してしまいましたけど……すぐに謝りましたわ！",O-Of course I slipped up and said something ill-mannered... but I apologized right away!,
84,Satoko,"なのに……それなのに梨花ったら、
「いまだにブロッコリーを食べられない沙都子に
言われたくないのです。にぱー♪」と……！","But even so... even considering that, Rika told me, ""I don't want to hear that from the girl who still can't eat broccoli to this day. Nipah ♪""...!",
86,Miyuki,"あー、それは梨花ちゃんが悪いね。
嫌いなものは誰にだってあるんだから、
それを突っつくのは反則だよ。","Ah, Rika's at fault there. Everyone has things they dislike, so she's playing a foul to poke at you for something like that.",
90,Nao,美雪……あんた、どっちの味方なのよ？,Miyuki... whose side are you on?,
92,Miyuki,"んー、特にどっちも。
だって喧嘩の原因が、犬も食わないレベルの
つまんない内容だからねー。","Mmm, neither. The origin of the fight is so trivial, it wouldn't even get you on a tiger's bad side.","I just learned that ""catch a tiger by its toe"" is a RACIST METAPHOR so I adjusted it to this    WHEW WE'RE NOT USING SUCH A THING THEN thanks for the change"
96,Kazuho,"けど、たとえそうだったとしても仲良しの２人が
ここまで険悪になってるんだから、
ここは仲裁してあげたほうがいいんじゃない？","But it still made these two good friends hostile towards each other, so wouldn't it be best for someone to intervene?",
98,Miyuki,"いやー、いらないでしょ。
だってあの２人の座ってる場所、よく見てみなよ。","Naahh, they probably don't need it.
Just take a good look at where they're sitting.",
102,Nao,"……なるほど。そっぽ向いてるのは顔だけで、
机の位置はいつも通りに隣同士だものね。","...I see. Their faces may be looking away, but they're still sitting in those same desks right next to each other as always.",
109,？？？？,……っ……？！,...gkh...?!,
111,Satoko,"こ、これは机を移動させるのが面倒だから、
そのままにしていただけですわ！","I-It's just bothersome to move the desk, so I left it as is!",
113,Rika,"それは、ボクだってそうなのです。
変な勘繰りはやめてくださいなのです、みー……！","It's the same for me.
Please have some more faith in me, meep...!","Please quit with the suspiciousness, meep...!'"
117,Mion,……って梨花ちゃん、もう帰っちゃうの？,"...Rika-chan, you're already going home?",
119,Rika,"これ以上ここにいても、気分が悪いだけなのです。
……帰るのですよ、羽入っ！","If I have to stay here any longer, it'll only make me upset.
...We're going home, Hanyuu!",
123,Hanyuu,"えっ……？　で、でもこの後みんなと一緒に
部活をするんじゃ……。",Huh...? B-But we're going to be doing club activities afterwards...,
125,Rika,"……ボクと一緒に帰らないと、今日の夕食は
とても酷いことになるのですよ。","...If you don't go home with me, today's dinner is going to be very disgusting.",
128,Hanyuu,"ひ……ひぃぃっ？　わ、わかりましたのです！
それではみんな、また明日なのですよ～？！","Hiiih... hiiiiiiihh? U-Understood!
I guess this is bye for now, everyone?!",
135,Satoko,"私も帰りますわ。……あの、魅音さん。
ちょっと今から、詩音さんに連絡を取って
いただいてもよろしいかしら？","I'm going home too. ...Um, Mion-san, would it be okay if I contacted Shion-san right now?",
138,Mion,"へっ？　まぁ、あの子は今頃エンジェルモートで
バイト中だから、お店にかければたぶん繋がると
思うけど……どうして？","Wha-? Well, that girl is at her job in Angel Mort about now, so I think you can get her if you call the shop... but why?",
140,Satoko,"申し訳ありませんけど、今は梨花と顔を合わせて
食事をする気にはなりませんのよ。
……お願いしますわ、魅音さん。","I apologize, but I'm not up to seeing Rika's face during my meals right now. ...Please help me out, Mion-san.",I'm not feeling like seeing Rika's face during my meals.'
142,Mion,"あんたがそこまで言うなら……わかったよ。
職員室の電話を借りるから、あんたもついてきて。","If you'll go so far as to say that... then okay. I'll get the phone in the staff room, so you can go head there now.",
145,Satoko,"わかりましたわ。
……それでは皆さん、また明日。","Understood.
...Okay, everyone, see you tomorrow.",
152,Rena,"はぅ……なんか、いつになく深刻な感じだよ。
どうしたらいいのかな、かな……？","Hau... she gave off an unusually serious aura. I wonder what should be done, be done...?",
155,Nao,"可愛さ余ってなんとやらというか……
このまま放っておくと、長引きそうね。","This sure isn't looking pretty...
If we let them separate like this, it looks like it'll get drawn out.","this first sentence? // ""This sure isn't pretty..."""
159,Miyuki,"といってもあの様子じゃ、仲裁してもかえって
意地を張り合ってこじれそうだし……うーん。","Even if you say that, it looks like us intervening will only pull them further apart here... hm.",
163,Kazuho,…………。,............,
165,Nao,"どうしたの一穂、急に黙り込んで。
何か気になることでもあった？","What's the matter, Kazuho? You got all silent.
Is there something on your mind?",
168,Kazuho,"あ、うん。
大したことじゃないかもしれないけどね。","Ah, yeah. It's probably nothing important, though.",
170,Kazuho,"どうして梨花ちゃんは、昨夜違うお醤油を
わざわざ買ってきたのかな、って……。",I was just wondering why Rika-chan went out of her way to buy a different soy sauce last night...,
174,Miyuki,"ちょうど売り切れてたんじゃない？
だから、違うものを買ってきた……
それだけの話でしょ。","Couldn't it have been sold out, so she went and bought a different one...? It can't be anything more than that.",So she went and bought a different one...' instead of 'Like all she did was buy the wrong thing'
178,Rena,"ううん。そういう時は梨花ちゃん、
魅ぃちゃんにお願いしてお裾分けを
もらったりしているんだよ。","Actually, at times like that, Rika-chan asks Mii-chan to share some of her own soy sauce with them.","""No. Usually when that happens, Rika-chan asks Mii-chan to share some of her own shoyu with them."" (this is a reference to the VN) ((THANKY OU I WAS REMEMBERING THAT BUT DIDNT THINK THAT FAR"
180,Rena,"それに、沙都子ちゃんが言ったように
違う調味料を使うのって、お料理をする上で
結構味の変化があったりするから……。","And just like Satoko-chan said, using different seasonings in your cooking can make quite the impact on flavor...",
182,Rena,"梨花ちゃんがそういうことに気が回らないとは、
ちょっと考えられないかな……かな。",So it's probably a bit unlikely for Rika-chan not to pay attention to that... to that.,unlikely' instead of 'unbelievable'
186,Kazuho,"えっと……タニサのお醤油とツルイのお醤油って、
そんなに違うものなの……？",Uh... are Tanisa soy sauce and Anfeya soy sauce that different...?,
190,Nao,"以前にあたしが味比べした感じだと、
甘辛の比率とかが少し違ってたわね。
どちらがいいかは、人それぞれだけど……。","I've taste tested them before, and I felt like the sweetness and saltiness ratios were slightly different. Whichever is better depends on the person, though...",i like salty more hehe (this is irrelevant) ((im only satoko crazy with hot sauce (((((i like more sour/vinegar and spic e))))) but with soy sauce idk???
192,Nao,"ただ、ツルイは定期的にキャンペーンをやって
宣伝をかけたりするから、店頭の目立つところに
置かれてる印象が強いわ……あっ。","But Anfeya does periodic campaigns to advertise their products, so they leave a strong impression while standing out from shop entrances... ah.",
196,Rena,"どうしたの、菜央ちゃん？
何か気づいたことでもあったのかな、かな？","What's up, Nao-chan?
I wonder if you've realized something, realized something?",
198,Nao,"あたし、喧嘩の本当の理由がわかったかも……かも。
でも、これって他人が指摘していいのかしら。","I might have realized the true reason behind their fight... maybe.
But I wonder if it's in my place to point this out as another person.",
200,Nao,"あの２人が自然に仲直りするのを待つべきか、
ちょっと迷うところね……。","I'm lost on whether I should just wait for those two to make up instead, you know...?",
202,Rena,"……確かに、あの２人なら放っておいても
いつの間にか仲直りしちゃうのかもしれないね。","...Those two might definitely make up at some point, even if they do separate themselves.",
204,Rena,"でも、仲直りができても言いたいことが
言えないままだったら……
きっとどこかに、しこりが残っちゃうと思うの。","But make up or not, if they still won't be able to say what they want to each other... I think it'll surely leave a bad aftertaste.",
206,Rena,"だから、原因を調べてから指摘するべきか……
一緒に考えさせてくれないかな？　かな？","So, as an answer, I'll ask... will you maybe help us figure the cause out together, out together?",shortened
208,Nao,レナちゃん……ありがとう。,Rena-chan... thank you.,
210,Nao,"それじゃ、セブンスマートに行きましょう。
あと、もし今からでも可能だったら――。","Alright, let's go to Sevens Mart. It might still be possible if we go now--",
