chara042003_01.bytes,chara,jp,en,Notes TL,Notes QC
39,Miyuki (Casual),"ふぁぁぁ……おふぁよぉ、レナ。
キミも朝から、元気だねぇ……。","*yaaawn*... Guu mawniih, Wehna.
You seem lively this... morniiing...",,
42,Rena (Casual),"おはよー、美雪ちゃん……？
はぅ、ずいぶん眠そうだね。
昨日はあんまり眠れなかったのかな、かな？","Good morning! Miyuki-chan...?
Hau, you seem very sleepy. I wonder if you got any sleep at all last night, at all last night?",,
46,Nao (Casual),"気を遣ってあげなくてもいいわよ、レナちゃん。
美雪がこうなってるのは、夜遅くまで深夜映画を
だらだらと観てたせいだから……まったく。","You don't have to worry about her, Rena-chan.
Miyuki's like this because she lazed around watching movies all night... ugh.",,
48,Miyuki (Casual),"だらだらじゃないよぉ……。今日から始まる
劇の練習の参考にしようと思って、しっかりと
観てただけなんだからさぁ……ふみゅぅ……。",I wasn't laaaziiinnn'... I thought I'd peruse them as references for play practice todaaay-... *yaawn*...,,
51,Nao (Casual),"だからって、明け方まで見てなくてもよかったでしょ。
本末転倒って言葉、知ってる？","And like I told you, you didn't have to watch until sunrise.
Are you even aware of the phrase ""getting your priorities backwards""?",,
55,Kazuho (Casual),"あ、あははは……そう言えばレナさん、
その手に持ってる風呂敷包みの重箱って
もしかしてお昼のお弁当？","A-Ahahaha... by the way, Rena-san, are those wrapped-up boxes you're carrying possibly lunch bentos?",,
60,Rena (Casual),"うん。色々と動いたりしてお腹が減ると思ったから、
腕によりをかけて頑張ってきたよ～！　はぅはぅ♪","Yes. I thought everyone would get hungry after all that moving around, so I put my all into it~! Hau hau♪",,
64,Nao (Casual),"ありがとう～！　レナちゃんのおいしいお昼が
あると考えるだけで、いっそう頑張りがいがあるわぁ♪",Thank you~! Just thinking about Rena-chan's delicious lunch makes it all the more worthwhileee♪,,
66,Nao (Casual),"あんたもそうでしょ、美雪？
朝は牛乳くらいしか飲んでなかったんだから、
お昼はしっかりと……って、美雪？","Same for you, right, Miyuki? You didn't even drink milk this morning, so you'll need to hold out until lunch... Miyuki?",,
71,Miyuki (Casual),……く～……。,...Zzz~...,,
75,Kazuho (Casual),"た……立ったまま寝ちゃってるっ？
起きて、美雪ちゃん！　そんな格好で寝たら
倒れた時に危ないよっ？！","Did... did she fall asleep standing up?
Wake up, Miyuki-chan! Won't it be dangerous if you fall down sleeping like that?!",,
78,Satoko (Casual),"……立ったままお休みになるなんて、美雪さんは
ずいぶんと器用なお方ですわねぇ。",...Miyuki-san must be an awfully dextrous type to fall asleep like that.,,
82,Rika (Casual),"みー。廊下で立たされるようなことがあっても、
この特技があれば大丈夫なのですよ。にぱー。",Meep. This special skill will help her if she ever gets told to go to stand in the hallway. Nipah~,,
86,Hanyuu (Casual),"あ、あぅあぅ……それより廊下に立たされるような
「あほー」なことをしないように気をつけるのが、
先だと思いますのですが……。","A-Au au... I think it's more about making sure you don't do the ""dumb"" things that get you told to go stand in the hallway...",,
91,Nao (Casual),"はぁ……とりあえず今日は夕方まで、
本読みから各シーンの演技の確認よ。
怪我がないように注意して、しっかりやりましょう。","*sigh*... Anyway, we're going to act out all of the scenes from top to bottom until dusk to make sure we're set. Let's do this cleanly and carefully so that no one gets hurt.",,
95,Satoko (Casual),"をーっほっほっほっ、私にお任せあそばせ！
未来の名女優、アオデミー賞有力候補の私にかかれば
どんな演劇もお茶の子さいさいですわぁ！","Ohohohohoho, do leave it to me! As a future famous actress and contender for the Aodemy Award, a mere play will be a cinch!",,
99,Miyuki (Casual),"……「お茶の子さいさい」って言葉、
ずいぶん久しぶりに聞いたね……くー……。",...Awfully long time since I heard someone say something being a cinch...zzz...,,
103,Kazuho (Casual),"ね、寝ぼけてる状態でもそっちのツッコミは
欠かさないんだね……。","Sh-she doesn't miss punch lines even in a half-asleep state, huh...?",,
107,Rena (Casual),"あはははは。でもやっぱり、一番の見せ場は
主人公の圭一くんと魔王役の魅ぃちゃんが繰り広げる
ラストバトルだよねっ。はぅ、今から楽しみだよ～♪","Ahahahaha. But for sure, I think the best scene is going to be the final battle between Keiichi-kun as the protagonist and Mii-chan as the Demon Queen. Hau, I'm really looking forward to it~♪",,
111,Nao (Casual),"あの２人だったら、どんなに激しい動きが続いても
息が合ってて、心配なさそうだもんね。
つい見惚れて失敗しないよう、注意しないと……あれ？","No matter how rigorous the practicing gets, those two make a perfect team, so there's probably no need for worry. Let's take great care not to overadmire them and get hurt doing-... what was that?",,
123,Mion (Casual),"だーかーらー！　圭ちゃんはわかってない！
全っ然、ＳＦヒーローの魅せ方がわかってないよ！","LIKE! I! SAID! You don't get it, Kei-chan!
You don't get what makes sci-fi heroes charming, not at ALL!",,
129,圭一 (Casual),"わかってねぇのはそっちだろ、魅音っ！
ホントお前とは意見が合わなさ過ぎて、
いい加減疲れちまうぜ！","{i}You're{/i} the one who doesn't get it, Mion!
I'm {i}really{/i} getting tired of disagreeing with you!",,
137,Mion (Casual),"なっ……？　こ、こっちが色々と気を遣って
やってるってのに、その言い草ッ……？！",Wha-...? Y-You say that to me even though I've been stepping around glass shards for you...?!,,
139,Mion (Casual),あーっ、もうあったまきた！　こうなったら戦争だ！,"Aah, now I'm mad! This means war!",,
142,圭一 (Casual),望むところだ、覚悟しろよ！,Fine by me; you'd better prepare yourself!,,
147,Nao (Casual),"ちょっ……これ、どういうことっ？
なんで前原さんと魅音さんが、こんなにも
激しく言い争いをしてるの？！",Wait... what's this all about? Why are Maebara-kun and Mion-san arguing so vehemently?!,,
150,Miyuki (Casual),"やめなよ、魅音！　前原くんも！
せっかく仲直りしたってのに、戦争開始って
いったい何があったのさ？！","Stop it, Mion! You too, Maebara-kun!
Why the hell are they fighting when they just made up a minute ago?!",,
