chara042003_03.bytes,chara,jp,en,Notes TL,Notes QC
32,Kazuho (Casual),（そして、試合開始――）,"(And then, the game began—)",,
33,Kazuho (Casual),"（を、してから勝負はあっさりというか、
意外に善戦したというべきか……ほんの数分で決まった）","(It ended very easily, though I suppose everyone put up a surprisingly good fight, for what it was... it was all settled just within a few minutes.)",,
41,圭一 (Casual),"……お、おわぁぁぁあぁっっ？
こ、こんなところにまでトラップがぁぁぁ？！",..U-Uwaaaaaah? Th-there's a trap here toooooooo?!,,
47,詩音 (Casual),"ちょっ……うひゃぁぁぁあぁっ？
地雷攻撃は飛び道具に入らないでしょ、沙都子っ！","Hol-... hyaaaaaah? Land mines aren't meant to be thrown, Satoko!",,
51,Satoko (Casual),"をーっほっほっほっ！　間合いに入らせることなく
相手を倒す、まさに遠距離攻撃の醍醐味ですわぁ～！",Ohohohohoho! There's a special kind of enjoyment in taking your opponents out with a long-range attack before they can even reach you~!,,
54,Rika (Casual),"みー。火器の物量差に圧倒される圭一たち、
かわいそかわいそなのですよ。にぱー♪","Meep. Poor, poor Keiichi's group was overwhelmed by the difference in firepower. Nipah♪",,
58,Hanyuu (Casual),"こ、これはもはや戦いと呼べるものではないのです……。
一方的な虐殺、もしくは蹂躙戦なのですよ……！","Th-this can't even be called a battle anymore...
This is a one-sided massacre, a war crime...!",,
60,Rika (Casual),"あら……そう思うなら、今からでもあっちに加勢する？
私は止めないわよ。","Dear me... then why don't you go join them if you think that way?
I won't stop you.",bern voice,
63,Hanyuu (Casual),"ひぐっ？　う、恨まないでください圭一……！
僕も、狩られる側はごめんこうむるのですよ……！","Eeek? P-Please don't hate me for this, Keiichi...!
I don't want to become a victim either...!",,
68,Kazuho (Casual),"くっ……！　こうなったら、大将の魅音さんを
狙い撃ちして……なっ？","Tch...! Now that it's come to this, we're going to have to set our sights on General Mion and... wha-...?",,
74,Miyuki (Casual),おっと……！　ここは通さないよ、一穂！,"Hey there...! I'm not letting you through, Kazuho!",,
78,Nao (Casual),"あんたの狙いは、こっちも予測済み。
倒せないまでも、２人がかりなら止められる。
そして――！","I also predicted you would come here.
Two of us isn't enough to beat you, but we can stall you.
Now, Rena―!",,
86,Rena (Casual),"あーっはははははっ！
もらったよ、一穂ちゃんっっ！！","Ahahahahahaha! I got you, Kazuho-chan!!",,
90,Kazuho (Casual),そ、そんな……って、きゃぁぁぁあぁっっ？！,Th-this can't be... kyaaaah?!,,
96,Satoko (Casual),"お見事、レナさん！
詩音さんも、これでとどめでしてよッッ！！","Well done, Rena-san! I finished Shion-san off here as well!!!",,
102,詩音 (Casual),"うわったぁぁぁあっっ？！
あ、あとで覚えてなさい……沙都子ぉぉぉっ！！","Hrrggyaaaaaahh?!
Y-You'll pay for this... Saaatookoooooooo!!!",,
