event01_30_03.bytes,,Llorona; I deeply welcome any and all feedback to my interpretations. Please let me know if there's something I should fix!,hanss - QC,Naegles - QC2,
index,chara,jp,en,,
29,,"　ほんの１０分くらい目を瞑るだけ……、と思っていたのに、案の
定、かなり眠ってしまっていたようだ。","I thought I could just close my eyes for 10 minutes, and sure enough, I fell asleep.",,
31,,"　魅音さんと詩音さんも眠っていたが、あたしがもぞもぞと起き上
がる気配で目が覚めたようだった。","Mion-san and Shion-san are asleep too, but I woke up from feeling like I was tossing and turning.",,
34,Nao (Casual),……いっけない。さすがに寝すぎたかも。……かも。,...Oh gosh. I might have... overslept after all... maybe.,I guess -> maybe (for nao),
40,Mion (Casual),"ふぁ～～あぁ！　よっく寝たぁ。おじさん、元気チャージ
１２０％！",Ha~aah! I slept goood! This ol' man's charged up 120%!,,
42,詩音 (Casual),今、何時ですか？　え、もう午後６時過ぎなんですか。,"What time is it right now? Huh, it's already after 6:00?",,
44,Mion (Casual),雨も止んでるね。これは明日は、最高の撮影日和になるよ！,That rain is coming down too. Tomorrow's gonna be big picturesque!,,
48,Nao (Casual),……窓の鍵。直ったんですか？,...The window lock. Did you manage to fix it?,,
50,Mion (Casual),ん？　えへへ～………。,Hm? Ehehe~...,,
54,詩音 (Casual),無理でした。後で使用人さんに謝って下さい。,I guess not. Please apologize to a servant later.,,
57,Mion (Casual),はあい……。,Okayy...,,
60,,その時、部屋に置かれた内線電話が鳴った。,"At that moment, the house phone in the room rang.",,
64,Nao (Casual),あ、えっと、はい、もしもしっ。,"Ah, umm, yes, hello?",,
67,？？？？,"『お寛ぎ中、失礼致します。お夕食の準備が整いました。下の広間
にお越し下さいませ』","""I am sorry to intrude on your relaxation time. The preparations for dinner are complete. If you would please come over to the reception room.""",,
70,Nao (Casual),はい。すぐにお伺いします。,Okay. I'll be there soon.,,
75,詩音 (Casual),行きますよ、お姉。ディナーは少しは上品にして下さいよ？,"I'm going too, Sis. Please be a bit more sophisticated at dinner, yeah?",,
77,Mion (Casual),ハイハイ。じゃないと、魔女に祟られちゃうからね～。,"Yeah, yeah. If I don't, the witch is gonna curse mee~.",,
82,Nao (Casual),…………………。,.....................,,
88,,"　せっかく忘れてたのに。……魔女の怪談を、また思い出してしま
う。
　でも、昼寝できて頭もスッキリした。","Even though I tried so hard to forget... I was reminded of the ghost story about the witch again. But since I just had that nap, my face relaxed a bit.",,
89,,"　自慢のディナーをいただけば、あたしも元気チャージ１２０％
で、明日からは気分を入れ替えて機嫌よく過ごせそうだ。","Having a dinner I could boast about, I'll be charged up to 120% too, and starting tomorrow, my mood might even improve on its own.",,
91,,下へ降りる前に、隣のヱリカさんの部屋もノックする。,"Before I go down, I'll knock on the door to Erika's room as well.",,
94,Nao (Casual),ヱリカさん。お夕食だそうですけど、一緒に降りませんか？,"Erika-san. It seems that dinner is ready, so would you like to go down there together?",,
96,ヱリカ,……先に行っててください。髪の毛が整わなくって……。,...Please go on without me. My hair isn't set yet...,,
97,,"　扉越しに、あの長いツインテールと格闘しているだろう唸り声が
聞こえる。","Through the door, I could hear a grunting voice grappling with those long twintails.",,
98,,"　あれだけの長さの髪って、ちょっと憧れるけど、やっぱりお手入
れは大変ね……。","I've been kind of longing for hair as long as that, but it really is a big handful...",,
102,Mion (Casual),うわ、もういい匂いがするよ～！,"Mmm, I already smell the deliciousness from here~!",,
104,詩音 (Casual),#p雛見沢#sひなみざわ#rではなかなか嗅げない匂いですねぇ。,"This is definitely a smell you wouldn't get in Hinamizawa, huh?",,
108,Nao (Casual),"ランチの時点で期待値が最高だから、ディナーもすっごく楽しみで
す。","Lunch earlier was the absolute best it could have been, so I'm super looking forward to dinner!",,
111,Mion (Casual),やっぱり、ご飯は大事だよねぇ！,"Meals really do decide everything, huh?!",,
120,紗音,皆様。お待たせいたしました。お席へご案内致します。,"I apologize for the wait, everyone. I will gladly guide you to your seats.",,
122,,"　純白のテーブルクロスの上には、見るだけでも満たされそうな、
美しい盛り付けのフランス料理が……。","Upon the snow white tablecloth, there was a beautiful arrangement of French cuisine that could probably satisfy your appetite just by looking.",,
125,紗音,"当家の料理長、郷田が腕によりを掛けました、創作スペイン料理で
ございます。","Our family head chef, Gohda, has brought to you today his rendition of Spanish cuisine.",,
129,Nao (Casual),……スペインはフランスの隣よね。……セーフセーフ……。,"...Spanish is close to French. ...Phew, close enough...",,
133,？？？？,はて。……ヱリカさまは、まだお部屋でしょうか？,Dear me. ... I do wonder if Erika-sama is still in her room?,,
134,,"　郷田さんにとっては、自分の作った料理の紹介をする時が最高の
ひと時なのだろう。",Gohda-san had appeared at the best possible moment to introduce his own cooking.,,
135,,"　その最高のひと時には、全員が着席していて欲しい。ヱリカさん
がまだ来ていないのが気になっているようだった。","In that moment, everyone wanted to sit and listen. But he seemed to be worried that Erika was still missing.",,
136,,"　だが、ヱリカさんを待っていたら、料理の一番の食べ頃を逃して
しまう。","However, if we were to wait for Erika-san, we would miss our chance to eat while the food was still at its most ideal.",,
137,,"　郷田さんは咳払いをしてから、今夜の料理の説明を始めるのだっ
た。","With a cough to clear his throat, Gohda-san had begun his explanation on tonight's cuisine.",,
138,,"　繊細な前菜、そして優しい味のスープを味わい終えた頃、ようや
くヱリカさんが階段を降りて来た。","By the time we had finished a subtle appetizer and even gotten through a deliciously light-flavored soup, Erika had finally gone down the stairs.",,
141,ヱリカ,お待たせして申し訳ありません。,I deeply apologize for the wait.,,
145,？？？？,いえいえ、とんでもない！　さぁ、どうぞ。御着席を！,"No, no, it was no problem! Now, please, have your seat!",,
149,ヱリカ,あ、私、マイ箸があるので、シルバーは下げてもらって結構です。,"Ah, I have my own chopsticks, so it would be splendid if you took away my silverware.",,
151,紗音,し、しかし……。スープをお箸では……。,B-But... eating soup with chopsticks is...,,
153,ヱリカ,"ヱリカ流お箸術を見くびっていますね？　箸でスープをいただく秘
技！　ご披露させていただきますっ。","You're underestimating the refined art of Erika-Chopstick-Jutsu, aren't you? Allow me to demonstrate my soup eating chopstick technique!",,
156,,何それ。超見たい。,"Whaaat, I totally wanna see this.",,
157,,"　ヱリカさんという人は、直接の関わりなく遠くから見ている分に
は、とても面白い人なのかもしれない。","For someone unrelated looking in from a distance, Erika-san might actually seem like a really amusing person.",,
162,,"　食後は、そのままテレビの前のソファーに移り、みんなでのんび
りした。","After dinner, we all sat down in front of the TV, relaxing on the sofa.",,
163,,"　心地よい満腹感は、今日一日、大したことはしていないはずなの
に、今日もがんばったかのような不思議な気持ちにさせてくれる。","After getting pleasantly stuffed from all that food, I got the strange feeling that I had done my best today, even though I haven't done much at all lately.",,
164,,"　テレビはもちろん『名探偵ワニャン』。
　あたしが見てた頃から、ずいぶん登場人物が増えている。","Of course, ""Detective Wanyan"" was on TV. The cast on the show has multiplied since the last time I watched it.",,
165,,"　というか、この世界の警察は、どうして殺人事件の現場に、小学
生やら巨大ナメクジやらを自由に立ち入らせるのだろう？？","Speaking of which, why are the police in this show just letting an elementary schooler and that big slug stand there on the scene of a murder incident??",,
172,Mion (Casual),"いやいやいやいや！　まだ言い逃れは出来たでしょ！　犯人、屈す
るの早ぁい！",Nonononono! They should have held back on thaat! They revealed the culprit way too faaast!,,
179,ヱリカ,"ミステリーは、知的パズルではありますが、時に肉体的な格闘技の
一面もあります。","There are mysteries with intellectual puzzles, but sometimes others will entirely be about the competitive nature between the detective and culprit.",,
182,詩音 (Casual),"確かに。結局のところ、証拠の数々はパンチみたいなもんですし
ね。いくら突きつけられても、堪えることは可能ですし。","Definitely. In the end, the piles of evidence are just like punches. No matter how many they throw at you, it's possible to put up with all of it.",,
186,Mion (Casual),詩音、昔っからそういうのの往生際、悪いもんねぇ。,"Shion, you've never learned when to give up since way back in the day, huh?",,
191,ヱリカ,"くす。まぁ、往生際の悪い犯人というのは、ミステリー的に、見て
いて愉快ではありませんが。","*giggle*. Well, watching a killer that doesn't know when to give up in a mystery can be quite pleasant, though.",,
193,ヱリカ,"私くらいになると、……多少はタフな方が、打ち込み甲斐があると
いうものです。くすくす。","If it were me... I would be a pretty tough character. 
I daresay I'd put my all into it. *giggle*.",,
195,,"　ちぇ。……みんなも『カネダ少年の事件簿』、見て欲しいものだ
わ。すっごい面白いのに","Tch. ...I want everyone to watch ""The Kaneda Case Files"" too. It's suuper interesting, but...",,
196,,"　疎外感というか、天邪鬼な気分というか。……みんなの輪に入り
損ねる。",I'm not sure if this is a feeling of alienation or if this is me being a contrarian. ...I just feel left out of the circle.,,
197,,"　あたしはソファーを立つ。
　カウンターテーブルの向こうで、後片付けをしている紗音さんが
いた。","I got up from the sofa. Over near the bar table, Shannon was there cleaning up.",,
202,紗音,何か、お飲み物をお作りしましょうか……？,I'm wondering if you'd like me to make you a drink...?,,
204,Nao (Casual),あ、いえ。もうたくさんいただきましたので。,"Ah, no. I've had more than enough.",,
206,紗音,名探偵ワニャン、面白いですよね。,"Detective Wanyan sure is interesting, huh?",,
208,紗音,"私も他の使用人の人にも勧めてるんですけど、みんな読んでくれな
くて……。","I've also been recommended it to the other servants, but nobody has started reading it...",,
210,Nao (Casual),……あなたもワニャン派ですか。……映画は見ましたか？,...You're also a Wanyan fan? ...Have you seen the movie?,,
212,紗音,もちろん！　東京の大きな映画館で観ました♪,Of course! I watched it in a huge theater in Tokyo♪,,
214,Nao (Casual),……カネダ少年の事件簿は読んでる？,...Have you read The Kaneda Case Files?,,
217,紗音,"えぇ、そちらも大好きです。結構、ハードだけど、そこがいいです
よね。","Yeah, I love that one too. It's a pretty difficult choice, but I liked it better.",,
220,,しゃ、紗音さん………。,"Then, Shannon-san...",,
224,Nao (Casual),……一杯もらえるかしら。赤コーラ、炭酸砂糖マシマシで。,"...I believe I would like a glass to drink after all. A carbonated red cola with extra sugar mixed in, please.",possible Kindaichi Case Files reference,
226,紗音,くす。かしこまりました。,*giggle*. As you wish.,,
228,Nao (Casual),……………………。,........................,,
230,Nao (Casual),"……えっと、……紗音さん。ここだけの話なんだけれど、……いい
ですか？",...Um... Shannon-san. This is just between you and I... okay?,,
232,紗音,はい………？,Okay...?,,
236,Nao (Casual),"……朱志香さんたちに、この島には魔女のオバケが出るって脅され
たんですけど。",...Jessica-san and them have been scaring me with this island's ghost story about a witch.,,
238,紗音,魔女の、オバケ……、ですか……？,Ghost story... about a witch... you say...?,,
241,,きょとんとした顔。……うん、その反応でいいの。,"A bewildered expression. ...Yeah, that reaction is good.",,
242,,"　ベアトリーチェという魔女は“い”ると、みんなに寄ってたかっ
て言われた。","Everyone has been claiming that Beatrice, the witch, ""exists.""",,
243,,"　普段なら、あたしだって空気は読む。サンタクロースの存在を、
むやみやたらに否定したりはしない。","Normally, even I'd be able to read the mood, like how you wouldn't want to indiscriminately deny the existence of Santa Claus.",,
244,,"　……でも、天邪鬼な自分の性分というか。
　寄ってたかって、ベアトリーチェは“い”る、なんて言われる
と、じゃあ証拠を見せろと言いたくなってしまうのだ。","...But I'm a bit more of the contrarian type. As they join in and declare that Beatrice ""exists"", I more so get the feeling of wanting to be shown proof.",,
245,,"　……証拠？　………冗談じゃない。
　あたしはこの島でのんびりしたいだけなのに、……どうしてこん
なことに。","...Proof? ...This is no joke. I just wanted to relax on this island, so why did it have to come to this?",,
249,Nao (Casual),やっぱり紗音さんも、……信じてるんですか？　ベアトリーチェ。,"As I thought, Shannon-san... believes in Beatrice too?",,
251,紗音,はい。……“い”ますよ。ベアトリーチェさまは。,"Yes. ...Beatrice-sama ""exists"".",,
253,Nao (Casual),いるって、どこに？,"When you say exists, where would that be?",,
255,紗音,今、ここにも、きっと“い”ますよ。,"Right here, right now, she surely ""exists"".",,
259,,"　紗音さんはにっこりと微笑みながら答えるのだが……、むしろ薄
気味悪く感じられた。",Shannon-san is laughing sweetly with a smile on her face... but I get the feeling that I've soured her mood instead.,,
263,Nao (Casual),いるなら、堂々と出て来ればいいんだわ。,"If she does exist, she'd better impress me with her appearance.",,
265,Nao (Casual),"勿体ぶって、姿を見せるのを出し惜しみするから、薄気味悪くなっ
ちゃうんです。","If she shows her form begrudgingly, acting like she owns the place, she'd ruin the experience.",,
267,紗音,……反魔法の毒素、というものがあるそうです。,... It seems like you are quite poisoned with anti-magic toxin.,,
269,Nao (Casual),反魔法の、毒素って……？,Anti-magic... toxin...?,,
