chara142002_03.bytes,,Llo - TL,Naegles- QC
index,chara,jp,en
36,赤坂,"……手短に済ませるつもりが、
ずいぶんと話し込んでしまったね。
疲れたかい、梨花ちゃん？","...We intended for this to be brief, but this ended up dragging on awfully long, huh? Are you tired, Rika-chan?"
38,Rika (Casual),"みー、ボクは大丈夫なのですよ。
ただ……。",Meep. I'm okay. It's just...
40,Rika (Casual),"……あまりにも初めて聞くことが多すぎて、
頭の整理に時間がかかっているのです。","...after learning about so many new things at once, I'm going to need some time to wrap my head around all of it."
42,赤坂,"まだ幼い君に、こんな重要機密を伝えるのは
本当に申し訳ないと思っている。ただ……。",I feel like it's seriously inexcusable of me to be sharing such highly classified information with a young child. But...
44,赤坂,"梨花ちゃん、君は聡明な女性だ。
それに加えて、この村の人たち全てを救いたいと
本気で願っているのだと私にも理解ができる。","Rika-chan, you are an intelligent girl. Moreover, I can deeply understand why you have the earnest wish to save all of the people in this village."
46,赤坂,"だからこそ私は、ありのままのことを
伝えさせてもらった。……それによって、君を
苦しませてしまうかもしれないと覚悟の上でね。","So, that is frankly the reason why I shared all this to you. ...But I'm also aware of the fact that this may make you suffer as well."
48,Rika (Casual),"……いいえ、赤坂。
ボクがあなたに、話してもよいと思うこと
全てを教えてほしいと頼んだのです。","...It's okay, Akasaka. I myself thought it was a good idea to speak to you. I wanted you to tell me everything just the same."
50,Rika (Casual),"むしろ、ボクのことを子ども扱いしないで
真摯に向き合ってくれたことが、
本当に嬉しいのですよ。にぱー♪","Actually, the fact that you treated me as your equal and brought the issue up earnestly makes me really happy! Nipah♪"
52,赤坂,"ありがとう、梨花ちゃん。
そう言ってもらえると、私も救われるよ。","Thank you, Rika-chan. You saying that makes me glad too."
54,赤坂,"それじゃ、私は行くよ。
また何か進展があれば、君に報告するから……じゃ。","But alright, it's about time for me to leave. If any new developments come up, let me know... Seeya."
57,Rika (Casual),あっ……赤坂！,A-... Akasaka!
59,赤坂,"ん……？　どうした梨花ちゃん、
まだ私に聞きたいことでもあるのかい？","Mm...? What's up, Rika-chan? Is there something else you want to ask me?"
62,Rika (Casual),"……。この質問は、あなたにとってもすごく
答えづらいものだとわかっていますです。",...I understand that this upcoming question will be incredibly difficult for you to answer.
66,Rika (Casual),"ですが、聞かせてください。
……この村で出会った、美雪のことです。","But please hear me out. ...It's about the girl you met in this village, Miyuki."
68,赤坂,……。美雪さんが、どうかしたかな？,...What's the matter with Miyuki-san?
76,Rika (Casual),"あなたは、本当に気づいていないのですか？
……あの子の正体が、何者であるのかを。",Have you actually not realized yet? ...The fact that she might be your daughter?
78,Rika (Casual),"あなたの娘の名前は「美雪」……
そしてあの子の名字は「赤坂」です。
これが偶然の一致だとは、とても思えないのです。","Your daughter's name is ""Miyuki""... and that girl's last name is ""Akasaka"". Something like that being a coincidence is unthinkable."
80,Rika (Casual),"それに、美雪があなたを見つめる表情……
観察力に優れたあなたなら、もうわかっていても
おかしくないはずなのですよ。","And plus, the face Miyuki made as she stared at you...
Knowing you with your advanced skill in observation, I wouldn't think it strange if you had already felt it by now."
88,赤坂,…………。,............
90,Rika (Casual),"なのにどうして、あなたは聞かないのですか？
知らないふりをして、他人のように接するのですか？","Why won't you ask her? Will you keep pretending like you don't know, continuing to treat her like she's someone else?"
