chara142002_01.bytes,,Llo - TL,Naegles- QC
index,chara,jp,en
27,赤坂,やぁ、梨花ちゃん。今日はひとりかい？,"Hey, Rika-chan. You alone today?"
32,Rika (Casual),"こんにちはなのです、赤坂。
今日はどこかへお出かけなのですか？","Hello, Akasaka. Are you leaving town today?"
35,赤坂,"うん。宿泊施設の火事の原因もわかったことだし、
あとは消防団と大石さんたち所轄の仕事だからね。
部外者の口出しはかえって邪魔になる。","Yeah. We already know what caused the fire at the hot spring inn, so all that's left is leaving it to Ooishi-san's jurisdiction. Outsiders getting involved will just be a hindrance for them."
37,赤坂,"というわけでせっかくの休みだし、このあたりを
のんびり散歩してみるのも悪くないと思ってね。","So, with that, since I've been needing some rest, I thought it wouldn't be bad to try taking a relaxing stroll through this area."
39,Rika (Casual),"みー。村を観光したいのなら、ボクたちが
案内してあげるのですよ。","Meep. If you want to sightsee, we can give you a tour around here."
42,赤坂,"はは、ありがとう。でもそれは私ではなく、
はるばる#p雛見沢#sひなみざわ#rまで来てくれた戦人くんたちを
案内してあげてくれるかな。","Haha, thanks. Instead of me, though, give Battler-kun and Jessica-san a tour since they've come a long way."
44,赤坂,"どちらかというと私は、知らない土地を
ひとりであてもなく歩くほうが好きなんだ。","Besides, I love aimlessly walking around an unknown area by myself."
47,Rika (Casual),"わかりましたのです。
暗くなると危ないので、日が暮れないうちに
戻ってきてくださいなのですよ。","Understood. It gets dangerous after dark, so if the sky starts getting cloudy, please do come back safely!"
49,赤坂,"あぁ、そうさせてもらうよ。
梨花ちゃんは、例の宿泊施設のお手伝いかな？
こんな早い時間から、大変だね。","Aah, I'll take you up on that offer. Do you still want help with the lodging facility, Rika-chan? It's hard work at such an early hour, isn't it?"
51,Rika (Casual),"いいえ。ようやくアルバイトの目途がついたと
魅音から連絡があったので、
ボクたちは昨日でお役御免なのです。","No, thanks. Mion called and said she finally found some part time workers, so were dismissed from our jobs yesterday."
53,Rika (Casual),"その代わり、例の「連中」がまたこの辺りに
出てこないとも限らないので、
交代で見張りをすることになったのですよ。","So we started patrolling around in shifts instead since ""they"" might come around here again."
55,赤坂,"……なるほど。本来なら警察としては、
君たちに危険な役割を任せるなんて
絶対に認めてはいけない立場なんだけど……。","...I see. In my position as an officer, I think leaving such a dangerous task up to you kids is absolutely wrong to do, but..."
57,赤坂,"あの怪物どもに対抗できるのは、
残念ながら君たちのあの不思議な力だけだ。
申し訳ないけど、頼りにさせてもらうよ。","...unfortunately, with those monsters, only the power you kids have stands a chance against them. It's inexcusable, but I'm going to have to depend on you."
59,Rika (Casual),任せてくださいなのですよ、にぱー。,"Leave it to us, okay? Nipah~."
61,Rika (Casual),"……あと、赤坂。
あなたに尋ねておきたいことがあるのですが、
答えてもらっても構いませんですか？","...Also, Akasaka. I have something strange I want to ask you, but can you answer it anyway?"
63,赤坂,もちろんいいよ。で、どんな質問だい？,"Of course I can. So, what's the question?"
72,Rika (Casual),あなた……何しに来たの？,Why... did you come here?
81,赤坂,えっ……？,Huh...?
83,Rika (Casual),"私が記憶している赤坂衛は、出張とはいえ
下見でこんなふうに雛見沢にいることはなかったわ。
……いつも、公安刑事として忙しく働いていた。","In my memory, Mamoru Akasaka has never come to inspect Hinamizawa on a business trip like this. ...He was always busy working as a public security detective."
85,Rika (Casual),"あなたはどんな時でも、私的な都合より
公僕としての責任と矜持を優先する人。
確かに温泉は、嫌いじゃないでしょうけど……。","No matter the time, due to your personal circumstances, you held priority over your responsibility and dignity in being a public servant. Of course, I don't dislike that you came here because of the hot spring, but..."
87,Rika (Casual),"少なくとも、職務を忘れてのんびりと
怠惰な時間を過ごすつもりだとは……
私には思えないのよ。","At the very least, forgetting your job to spend your time leisurely is... something I couldn't imagine."
89,赤坂,……梨花ちゃん。,...Rika-chan.
91,Rika (Casual),"あなたの立場上、答えられないことはあると思う。
……でも、できる範囲でいいから教えてほしい。",I think there are things you'll be unable to say in your position. ...But please answer as much as you can.
93,Rika (Casual),"……あなたも気づいているんじゃないかしら？
今のこの状況、わからないことが多すぎるのよ。",...Haven't you realized it too? How there are way too many unknown things happening lately?
95,Rika (Casual),"私なりになんとか真相を探ろうとは
思っているんだけど、ひとりだけだと
とても手が届かなくて……それで……。","I've been thinking I could reach for the truth on my own, but since I'm on my own, my hand doesn't reach that far... and..."
97,赤坂,…………。,............
99,赤坂,"……梨花ちゃん。君の見張りの仕事は、
何時頃に終わるのかな？",...Rika-chan. When does your patrol shift end?
101,Rika (Casual),"……？　えっと、お昼には魅音たちと
交代する予定だけど……。","...? Umm, at noon, I was planning to switch with Mion, but..."
103,赤坂,"続きは、場所を変えたほうがよさそうだ。
お昼になったら、２人きりになれる場所で
落ち合おう。どこがいい？","I'll tell you the rest when we're in a better area. Once it hits noon, let's meet up together somewhere else. Where do you prefer?"
105,Rika (Casual),"……古手神社の高台はどう？
あそこなら来る人も少ないし、誰が来たとしても
すぐに気づくことができるわ。","...How's the hill at the Furude shrine? Not many people go there, and if someone did come, we'd be able to realize right away."
107,赤坂,"わかった。
それじゃ、そこに行くまでに私も
多少準備をしておくよ。じゃ。",Got it. Alright. Until I get there I'll be focusing on making a few arrangements. See ya.
112,Rika (Casual),あっ……？,Ah...?
114,Rika (Casual),……。準備って、どういうこと……？,...What does he mean by arrangements...?
